average_rating,number_of_ratings,adapted
4,4780653,yes
4,4602479,yes
4,3866839,yes
4,3198671,yes
4,2683664,yes
4,2346404,yes
4,2071616,yes
4,2044241,yes
4,2001311,yes
4,2035490,yes
4,1813044,yes
4,1903563,yes
4,1956832,yes
4,1881700,yes
4,1972666,yes
4,1808403,yes
4,1831039,yes
5,1832823,yes
4,1766803,yes
4,1719760,no
4,1735368,yes
4,1605173,yes
4,1779331,yes
5,1753043,yes
5,1746574,yes
4,1447148,yes
5,1678823,yes
4,1605019,yes
4,1628519,yes
4,512475,yes
4,1531753,yes
4,1467496,yes
4,1300209,yes
4,1338493,yes
4,1299566,no
4,1296825,yes
4,1531800,no
4,746287,yes
4,1319204,no
4,1181647,yes
4,1366265,yes
4,1257121,no
4,1198557,yes
4,1053403,yes
4,1003228,no
4,1068146,no
4,1159741,no
4,570498,no
4,1149630,yes
4,1016888,no
4,1154031,yes
4,1134511,yes
4,1104021,yes
4,936782,yes
4,1022601,no
4,1070245,yes
4,916189,yes
4,953758,yes
4,1064521,yes
4,867553,no
4,1008778,no
4,953970,yes
4,899195,yes
4,863879,yes
4,846488,no
4,873981,yes
4,818742,no
4,888806,yes
4,836362,no
4,813439,no
4,808589,yes
4,791850,no
4,749780,yes
4,783470,no
4,736498,yes
4,738894,yes
4,747445,yes
4,665930,yes
4,670326,no
4,738757,no
4,621099,yes
4,647684,yes
4,637412,no
4,447833,yes
4,702332,no
4,597775,no
4,691231,no
4,461311,no
4,628637,yes
4,659248,yes
4,719925,no
4,524191,no
4,639357,yes
4,490565,no
4,590014,yes
4,387290,yes
4,618973,yes
4,563994,no
4,552059,yes
4,546502,no
4,495736,no
4,620618,yes
4,555822,yes
4,504793,no
4,463257,yes
4,506250,no
4,546948,yes
4,543658,yes
4,513407,yes
4,523303,no
4,501430,no
4,587647,no
4,563265,no
4,556518,no
4,488243,no
4,555359,no
4,615907,no
4,515090,yes
4,607889,yes
4,525706,yes
4,469836,no
4,506900,no
4,488269,yes
4,511360,no
4,515820,yes
4,485032,no
4,490504,no
4,560715,no
4,491642,yes
4,520630,no
4,322321,no
4,449501,no
4,502247,yes
4,593173,no
5,469022,no
4,465676,yes
4,515547,no
3,509883,no
4,613674,no
4,443951,no
4,423344,no
4,462517,no
4,470001,no
4,487775,no
4,455610,no
4,396756,no
4,463783,no
4,467577,yes
4,503527,no
4,424981,no
4,514932,no
4,441062,no
4,541117,no
4,496018,no
4,480446,yes
4,403601,yes
4,457475,no
4,453959,yes
4,508214,no
4,459247,yes
5,463959,yes
4,420600,no
4,271576,no
4,514312,no
4,428186,no
4,511815,no
4,378019,no
4,438832,yes
4,424637,no
4,423019,no
4,459826,yes
4,297472,no
4,431195,yes
4,419539,no
5,397500,no
4,292592,yes
4,380903,no
4,401605,no
4,392103,no
4,372099,no
4,381652,no
4,436093,yes
4,490890,no
4,440743,yes
4,429543,no
4,381080,yes
4,449073,no
4,365954,no
4,389054,yes
4,379872,no
4,398018,yes
5,400101,no
4,353011,no
3,358050,yes
4,393626,yes
4,365349,yes
4,420764,no
4,376766,yes
4,367304,yes
4,408983,no
4,369428,yes
4,448166,no
4,418309,no
4,394540,yes
4,372566,yes
4,505340,yes
4,391007,yes
4,377249,no
4,351107,yes
4,248283,no
4,348196,no
4,347006,yes
4,364933,no
4,446668,no
4,349423,no
4,327409,no
4,309385,no
4,222678,no
4,376385,yes
4,291411,no
4,311543,no
4,327122,yes
4,386923,no
4,395296,no
4,320919,no
4,333452,no
4,320083,no
3,323762,yes
4,340920,yes
4,365425,no
4,312444,no
4,332494,yes
4,283806,no
4,360156,yes
4,232106,no
4,291258,no
4,356814,yes
4,293878,yes
4,312969,yes
4,287533,no
4,333638,no
4,311499,yes
4,334647,yes
4,207889,no
4,337644,yes
4,360044,no
4,314700,no
4,334241,yes
4,294726,no
4,228538,no
4,314016,yes
4,427663,no
4,297712,no
4,356625,no
4,283295,no
4,283516,no
4,343252,yes
4,263685,no
4,305643,no
4,282623,no
4,279264,yes
4,306186,no
4,339117,no
4,284988,no
4,291909,no
4,274639,yes
5,253606,no
4,294123,no
4,262921,yes
4,177384,yes
4,313044,no
4,263199,no
4,280475,no
4,256480,yes
4,312754,no
4,279688,no
4,293844,no
4,297861,no
4,270603,no
4,256975,no
4,288376,no
4,316379,yes
4,298304,no
4,246602,no
4,251703,no
4,267166,no
4,244545,no
4,270318,yes
4,292426,yes
4,290674,no
4,258319,no
4,306492,yes
4,268012,yes
4,299980,no
4,258464,no
4,296952,no
4,238940,no
4,276076,no
4,228371,no
4,285692,yes
3,255576,no
4,255531,no
4,241537,no
4,246917,no
4,256383,yes
4,259576,no
5,245686,no
4,278747,no
4,341826,no
4,248804,no
4,255651,no
4,302303,no
4,243526,no
4,285011,yes
4,237272,no
4,250192,no
4,270859,no
4,226091,no
4,300553,no
4,215453,yes
4,268548,no
4,268318,no
4,205279,no
4,340379,no
4,226964,no
4,245674,yes
4,299998,no
4,235978,no
4,241869,no
4,260184,no
4,221225,no
4,268355,no
4,223432,no
4,252564,no
4,270402,yes
4,233984,no
4,222842,no
4,222926,no
4,244842,no
4,253437,yes
4,241088,no
3,231835,no
4,222712,yes
4,201337,no
4,250000,no
4,247521,yes
4,250221,yes
4,273442,no
4,228680,no
4,232489,no
4,307994,no
4,251082,no
4,238875,no
4,233825,no
4,281185,yes
4,275670,yes
4,249113,no
4,257260,no
4,199326,no
4,223828,yes
4,230181,yes
4,116277,no
4,259479,no
4,250602,yes
4,210682,yes
4,215780,no
4,205986,no
4,242503,no
4,237560,yes
4,232791,no
4,220301,no
4,191923,no
4,245855,no
4,191535,no
4,223932,no
4,223674,no
4,237602,yes
4,184211,no
4,226622,no
4,183988,no
4,208333,yes
4,236431,no
4,184241,no
4,256745,no
4,202135,no
4,236015,no
4,242980,yes
4,222553,no
4,208944,no
4,223535,no
4,226564,no
4,254852,no
4,274987,no
4,266742,no
4,195063,no
4,197294,no
4,178135,yes
4,179347,no
4,284833,no
4,183878,no
4,186613,no
4,195689,no
4,167332,no
4,182025,no
4,178154,no
4,218264,no
4,192330,no
4,171558,no
4,207508,yes
4,199346,no
4,200509,no
4,165675,no
4,195274,no
4,116784,no
4,230031,no
4,221431,no
4,213200,no
4,224247,no
4,231853,no
4,185116,no
4,191850,no
5,190050,no
4,234247,no
4,200217,no
4,196677,no
4,170776,no
4,210630,no
4,277491,no
4,190590,no
4,167593,no
4,194013,yes
4,198368,no
4,227021,no
4,226237,no
4,220160,yes
4,165378,no
4,168006,no
4,165704,no
4,165628,no
4,168911,no
4,183292,no
4,175883,no
4,202180,no
4,207550,yes
4,180896,no
4,201499,no
4,211645,no
4,170491,no
4,205340,no
4,203053,no
4,205167,no
4,260048,no
4,185979,yes
4,198083,no
4,172417,no
4,194493,no
4,190473,no
4,160466,no
4,183777,no
5,162099,no
4,182220,yes
4,155658,no
4,178110,no
4,159457,no
4,167400,no
4,155338,no
4,160330,no
4,181106,no
4,185928,no
4,214412,no
4,205064,no
4,171281,no
4,188024,no
4,162740,no
4,193141,no
4,167106,no
4,162972,no
4,178188,yes
4,153128,no
4,192315,no
4,175771,no
4,168082,no
4,152906,no
4,154643,no
4,155838,no
4,198809,yes
4,173186,no
4,173950,yes
4,142641,no
4,184007,no
4,191743,no
4,164287,no
4,184759,no
4,168405,no
4,145459,no
4,176062,yes
4,183255,no
4,168037,no
4,166083,yes
4,193140,yes
4,180320,no
4,164530,no
4,170841,yes
4,157506,no
4,161173,yes
4,139544,no
4,129665,yes
4,152786,no
4,170096,no
4,162595,no
4,167379,no
4,160063,yes
4,171384,no
4,139816,no
4,159596,no
4,147717,no
4,198627,no
4,169306,yes
4,193405,no
4,133408,no
4,149438,yes
4,152441,no
4,168678,no
4,149453,no
4,181656,no
4,150055,yes
4,190565,no
4,153809,no
4,168727,yes
4,175616,no
3,155903,no
4,145267,no
3,138669,no
4,150898,no
4,198283,no
4,83354,no
4,155977,no
4,167997,no
4,189938,no
4,199872,yes
4,179415,no
4,189671,no
4,206792,no
4,195424,no
4,173469,no
4,139411,no
4,159752,yes
4,156328,no
4,160860,no
4,133271,no
4,138454,no
4,142092,no
4,153821,no
4,157395,no
4,156869,no
4,158215,no
4,159249,no
4,199572,no
4,171599,no
4,158877,no
4,178432,no
5,144822,no
4,181323,no
4,161001,no
4,150736,no
4,99342,no
4,140076,no
4,135979,no
4,172302,no
4,134849,yes
4,136427,no
4,151500,no
4,113915,no
4,134177,no
4,148563,yes
4,151471,no
4,174280,yes
4,151160,no
4,174204,no
4,164708,no
4,193766,no
4,153764,no
4,190722,no
3,147908,no
4,139501,no
4,173613,no
4,131492,no
4,142168,yes
4,133937,no
4,150512,no
4,160607,no
4,131389,no
4,155042,no
4,154476,yes
4,155901,no
4,137412,no
4,134931,no
4,132777,no
4,153838,no
4,174393,no
4,162373,yes
4,170453,no
4,143622,no
4,145161,yes
4,127096,no
4,133728,no
4,177796,no
4,159703,no
4,144591,no
4,113565,no
4,134106,no
4,139052,no
4,138377,no
4,131856,no
4,151829,no
4,128406,no
4,127186,no
4,154517,no
4,136950,no
4,157736,yes
4,151789,no
4,129807,no
4,125847,yes
4,162689,no
4,133155,no
4,168001,yes
4,141945,no
4,141674,yes
4,111856,no
4,135635,no
4,169560,no
4,176433,no
4,136886,yes
4,144533,no
4,109692,no
4,188136,no
4,143236,no
4,120126,no
4,144497,no
4,131352,no
4,158701,no
4,128715,no
4,180961,no
4,153882,no
4,150003,no
3,148480,no
4,124371,no
4,146905,no
4,125195,no
4,137858,no
4,141110,yes
4,163054,no
4,98738,no
4,119213,no
4,100886,no
4,150222,no
4,114531,no
4,117657,no
4,128961,no
4,129811,no
4,146073,no
4,110651,no
4,137372,no
4,129778,yes
4,126993,no
4,137639,no
4,151721,no
4,108703,no
4,119930,no
4,132723,no
4,135514,no
4,138444,yes
4,113252,no
4,121398,no
4,142213,no
4,141641,no
4,109642,no
4,115393,no
4,156726,no
4,87445,no
4,165127,no
4,133683,no
4,116800,no
5,159774,no
4,144606,no
4,118045,no
4,130293,no
4,112167,no
4,116053,no
4,110873,no
4,131481,no
4,121966,no
4,128244,yes
4,124812,no
4,120008,no
4,141299,no
4,124837,no
4,110939,no
