author,rounded_rating,rounded_ratings_count,adapted
Suzanne Collins,4,4800000,yes
"J.K. Rowling, Mary GrandPré",4,4600000,yes
Stephenie Meyer,4,3900000,yes
Harper Lee,4,3200000,yes
F. Scott Fitzgerald,4,2700000,yes
John Green,4,2300000,yes
J.R.R. Tolkien,4,2100000,yes
J.D. Salinger,4,2000000,yes
Dan Brown,4,2000000,yes
Jane Austen,4,2000000,yes
Khaled Hosseini,4,1800000,yes
Veronica Roth,4,1900000,yes
"George Orwell, Erich Fromm, Celâl Üster",4,2000000,yes
George Orwell,4,1900000,yes
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4,2000000,yes
"Stieg Larsson, Reg Keeland",4,1800000,yes
Suzanne Collins,4,1800000,yes
"J.K. Rowling, Mary GrandPré, Rufus Beck",5,1800000,yes
J.R.R. Tolkien,4,1800000,yes
Suzanne Collins,4,1700000,no
"J.K. Rowling, Mary GrandPré",4,1700000,yes
Alice Sebold,4,1600000,yes
"J.K. Rowling, Mary GrandPré",4,1800000,yes
"J.K. Rowling, Mary GrandPré",5,1800000,yes
"J.K. Rowling, Mary GrandPré",5,1700000,yes
Dan Brown,4,1400000,yes
"J.K. Rowling, Mary GrandPré",5,1700000,yes
William Golding,4,1600000,yes
"William Shakespeare, Robert           Jackson",4,1600000,yes
Gillian Flynn,4,500000,yes
Kathryn Stockett,4,1500000,yes
John Steinbeck,4,1500000,yes
Arthur Golden,4,1300000,yes
E.L. James,4,1300000,yes
"Paulo Coelho, Alan R. Clarke",4,1300000,no
Lois Lowry,4,1300000,yes
C.S. Lewis,4,1500000,no
Audrey Niffenegger,4,700000,yes
George R.R. Martin,4,1300000,no
Elizabeth Gilbert,4,1200000,yes
Rick Riordan,4,1400000,yes
Louisa May Alcott,4,1300000,no
"Charlotte Brontë, Michael Mason",4,1200000,yes
Nicholas Sparks,4,1100000,yes
Yann Martel,4,1000000,no
Sara Gruen,4,1100000,no
Markus Zusak,4,1200000,no
Ray Bradbury,4,600000,no
Stephenie Meyer,4,1100000,yes
Shel Silverstein,4,1000000,no
Cassandra Clare,4,1200000,yes
Stephenie Meyer,4,1100000,yes
Christopher Paolini,4,1100000,yes
Douglas Adams,4,900000,yes
Aldous Huxley,4,1000000,no
Stephenie Meyer,4,1100000,yes
Sue Monk Kidd,4,900000,yes
"Mark Twain, John Seelye, Guy Cardwell",4,1000000,yes
"E.B. White, Garth Williams, Rosemary Wells",4,1100000,yes
Mark Haddon,4,900000,no
Paula Hawkins,4,1000000,no
Philip Pullman,4,1000000,yes
"Emily Brontë, Richard J. Dunn",4,900000,yes
Jodi Picoult,4,900000,yes
Kurt Vonnegut Jr.,4,800000,no
Margaret Mitchell,4,900000,yes
