rounded_book_count,Genre,rounded_ratings_count,rounded_rating
500,fantasy,1500000,4
2000,young adult,1300000,4
100,romance,1100000,4
500,sci-fi,600000,4
50,young adult,1000000,4
200,young adult,900000,4
200,drama,800000,4
300,fantasy,800000,4
200,young adult,800000,4
80,young adult,700000,4
200,mystery,600000,4
100,young adult,700000,4
200,young adult,500000,4
100,young adult,700000,4
100,NA,500000,4
40,drama,500000,4
60,comedy,500000,4
50,comedy,500000,4
100,drama,500000,4
300,comedy,600000,4
200,drama,600000,4
100,drama,500000,4
200,fantasy,600000,4
80,sci-fi,500000,4
200,sci-fi,500000,4
100,NA,500000,4
100,young adult,400000,4
2000,romance,500000,3
200,fantasy,600000,4
300,fantasy,500000,4
100,drama,500000,4
20,NA,500000,4
200,thriller,500000,4
100,mystery,400000,4
80,drama,400000,4
100,fantasy,500000,4
100,romance,400000,4
100,fantasy,500000,4
70,fantasy,500000,4
70,fantasy,300000,4
100,young adult,500000,4
80,young adult,500000,4
200,fantasy,400000,4
100,romance,400000,4
200,thriller,400000,4
100,fantasy,400000,4
90,fantasy,400000,5
2000,crime,400000,4
200,drama,400000,4
200,drama,400000,4
1000,NA,400000,4
100,fantasy,500000,4
100,fantasy,400000,4
100,young adult,400000,4
100,NA,400000,4
100,fantasy,400000,4
90,young adult,400000,4
90,romance,400000,4
70,NA,400000,4
100,NA,300000,4
1000,fantasy,400000,4
90,fantasy,400000,4
100,sci-fi,300000,4
90,drama,300000,4
100,romance,200000,4
20,young adult,300000,4
70,young adult,300000,4
200,fantasy,400000,4
100,mystery,300000,4
100,mystery,300000,4
100,mystery,200000,4
100,thriller,300000,4
80,young adult,300000,4
100,mystery,200000,4
100,young adult,400000,4
300,NA,300000,4
100,young adult,200000,4
90,young adult,400000,4
50,mystery,300000,4
100,young adult,400000,4
70,NA,300000,4
300,mystery,300000,4
100,young adult,300000,4
400,NA,300000,4
100,mystery,300000,4
60,fantasy,300000,4
90,romance,300000,5
100,young adult,300000,4
200,sci-fi,300000,4
100,fantasy,300000,4
30,young adult,300000,4
100,fantasy,300000,4
100,romance,300000,4
100,mystery,300000,4
100,fantasy,300000,4
100,romance,300000,4
20,comedy,300000,4
70,drama,300000,4
70,fantasy,300000,4
100,sci-fi,300000,4
200,fantasy,300000,4
200,sci-fi,200000,4
1000,sci-fi,300000,4
70,young adult,200000,4
50,drama,200000,4
60,drama,300000,4
100,fantasy,200000,5
90,romance,300000,4
100,fantasy,300000,4
100,fantasy,300000,4
100,romance,200000,4
100,NA,200000,4
100,young adult,300000,4
70,young adult,200000,4
100,fantasy,300000,4
70,young adult,300000,4
200,fantasy,300000,4
80,young adult,300000,4
90,young adult,300000,4
80,young adult,200000,4
100,NA,200000,4
90,fantasy,300000,4
300,sci-fi,300000,4
80,romance,300000,4
100,mystery,200000,4
30,sci-fi,200000,4
100,fantasy,200000,4
100,mystery,200000,3
50,comedy,200000,4
200,young adult,300000,4
80,young adult,300000,4
200,horror,200000,4
100,fantasy,300000,4
30,comedy,300000,4
40,fantasy,300000,4
100,NA,200000,4
200,fantasy,100000,4
80,young adult,300000,4
60,fantasy,200000,4
80,fantasy,200000,4
100,sci-fi,200000,4
60,comedy,200000,4
200,NA,200000,4
90,young adult,200000,4
90,drama,200000,4
100,fantasy,200000,4
90,young adult,200000,4
70,drama,200000,4
90,young adult,300000,4
90,NA,200000,4
90,young adult,200000,4
80,fantasy,200000,4
70,young adult,300000,4
90,young adult,300000,4
70,romance,200000,4
100,fantasy,300000,4
100,sci-fi,200000,4
10,horror,200000,4
2000,NA,200000,4
80,mystery,200000,4
60,NA,200000,4
80,romance,200000,4
100,romance,200000,4
100,romance,200000,4
1000,romance,200000,4
80,NA,100000,4
80,young adult,200000,4
200,fantasy,200000,4
100,mystery,200000,4
70,young adult,200000,4
80,young adult,200000,4
100,romance,200000,4
80,romance,200000,4
80,fantasy,200000,5
80,young adult,200000,4
400,mystery,200000,4
90,young adult,200000,4
100,comedy,200000,4
700,drama,200000,4
70,fantasy,300000,4
200,fantasy,200000,4
200,sci-fi,200000,4
70,romance,200000,4
70,young adult,200000,4
200,drama,200000,4
60,drama,200000,4
70,romance,200000,4
200,sci-fi,200000,4
100,drama,200000,4
80,sci-fi,200000,4
1000,mystery,200000,4
100,fantasy,200000,4
100,NA,200000,4
80,young adult,200000,4
40,fantasy,200000,4
40,romance,200000,4
100,fantasy,200000,4
60,sci-fi,200000,4
100,drama,200000,4
80,fantasy,200000,5
30,NA,200000,4
100,romance,200000,4
50,romance,200000,4
40,fantasy,200000,4
10,fantasy,200000,4
80,romance,200000,4
100,young adult,200000,4
1000,romance,200000,4
200,NA,200000,4
80,mystery,200000,4
100,NA,200000,4
10,young adult,200000,4
200,drama,200000,4
100,thriller,200000,4
2000,NA,200000,4
40,fantasy,200000,4
90,fantasy,200000,4
50,drama,200000,4
100,young adult,200000,4
700,NA,100000,4
40,young adult,200000,4
70,young adult,200000,4
100,sci-fi,200000,4
200,NA,200000,4
100,mystery,200000,4
70,NA,100000,4
100,mystery,200000,4
40,horror,200000,4
60,romance,200000,4
90,young adult,100000,4
60,NA,200000,4
90,romance,200000,4
70,fantasy,200000,4
100,mystery,200000,4
80,young adult,200000,4
80,romance,200000,4
80,fantasy,100000,4
50,romance,200000,4
80,young adult,200000,4
100,fantasy,100000,4
60,young adult,200000,4
20,NA,100000,4
80,fantasy,200000,4
100,fantasy,200000,4
60,fantasy,200000,4
70,crime,100000,4
100,drama,100000,3
50,comedy,200000,4
90,fantasy,200000,4
80,fantasy,80000,4
90,NA,200000,4
80,mystery,200000,4
50,romance,200000,4
300,fantasy,200000,4
60,young adult,200000,4
100,young adult,200000,4
200,NA,100000,4
60,fantasy,200000,4
50,young adult,100000,4
100,sci-fi,100000,4
90,romance,100000,4
100,romance,200000,4
100,young adult,200000,4
90,fantasy,200000,4
2000,romance,200000,4
50,fantasy,100000,5
90,fantasy,200000,4
60,fantasy,200000,4
90,romance,100000,4
90,drama,100000,4
70,fantasy,100000,4
100,sci-fi,200000,4
200,romance,100000,4
1000,comedy,200000,4
40,fantasy,200000,4
100,NA,200000,4
60,fantasy,200000,4
200,NA,200000,4
70,young adult,200000,4
40,horror,100000,4
70,fantasy,200000,4
100,drama,100000,4
50,romance,100000,4
70,young adult,200000,4
600,fantasy,100000,4
80,young adult,200000,4
200,sci-fi,200000,4
80,young adult,200000,4
300,fantasy,200000,4
60,fantasy,100000,4
20,comedy,100000,4
300,fantasy,100000,4
10,fantasy,200000,4
50,young adult,200000,4
30,NA,100000,4
300,sci-fi,100000,4
100,romance,100000,4
900,horror,100000,4
40,young adult,200000,4
70,crime,100000,4
2000,mystery,200000,4
100,NA,100000,4
80,young adult,200000,4
70,fantasy,200000,4
40,mystery,100000,4
40,fairy-tales,100000,4
70,NA,100000,4
80,fantasy,200000,4
80,young adult,200000,4
90,romance,100000,4
200,romance,100000,4
10,fantasy,200000,4
300,sci-fi,100000,4
80,drama,100000,4
100,sci-fi,100000,4
200,young adult,200000,4
0,romance,100000,4
80,young adult,200000,4
60,young adult,200000,4
40,romance,100000,4
100,fantasy,100000,4
100,fantasy,100000,4
80,fantasy,200000,4
90,drama,100000,4
60,young adult,100000,4
60,young adult,200000,4
100,crime,100000,4
100,drama,100000,4
80,NA,100000,4
50,young adult,100000,4
80,NA,100000,4
80,NA,100000,4
100,horror,100000,4
100,fantasy,100000,4
40,young adult,200000,4
60,young adult,100000,4
200,fantasy,100000,4
80,romance,100000,4
80,romance,100000,4
80,romance,100000,4
70,NA,100000,4
80,romance,100000,4
700,NA,90000,4
100,young adult,200000,4
60,fantasy,200000,5
60,young adult,100000,4
90,romance,100000,4
40,crime,100000,4
50,romance,100000,4
60,NA,100000,4
100,horror,100000,4
60,romance,100000,4
50,romance,100000,4
100,mystery,100000,4
100,horror,100000,4
50,mystery,100000,4
2000,sci-fi,100000,4
60,romance,100000,4
100,horror,100000,4
100,romance,100000,4
100,horror,100000,4
2000,sci-fi,100000,4
70,young adult,100000,4
200,romance,100000,4
200,drama,100000,4
60,NA,100000,4
60,young adult,100000,4
100,romance,100000,4
60,young adult,100000,4
1000,drama,100000,4
100,drama,100000,3
100,romance,90000,4
10,young adult,100000,5
50,NA,100000,4
20,comedy,100000,4
80,fantasy,100000,4
100,crime,100000,4
70,fantasy,200000,4
80,fantasy,100000,4
100,sci-fi,100000,4
90,young adult,100000,4
100,drama,100000,4
100,sci-fi,100000,4
70,young adult,100000,4
60,romance,100000,3
100,sci-fi,80000,4
50,fantasy,100000,4
200,NA,100000,4
0,comedy,100000,4
70,fantasy,100000,4
100,young adult,100000,4
70,fantasy,100000,4
60,drama,100000,4
60,young adult,200000,4
100,sci-fi,100000,4
30,young adult,100000,4
50,NA,100000,4
0,fantasy,100000,4
60,young adult,200000,4
50,comedy,100000,4
40,young adult,100000,4
60,sci-fi,100000,4
70,romance,100000,4
100,drama,100000,4
100,romance,100000,4
70,fantasy,100000,4
60,NA,100000,4
300,mystery,100000,5
1000,drama,100000,4
60,NA,100000,4
800,NA,100000,4
50,young adult,200000,4
70,NA,100000,4
10,NA,100000,4
40,romance,100000,4
80,drama,100000,4
20,comedy,100000,5
70,young adult,100000,4
500,romance,100000,4
60,young adult,100000,4
80,fantasy,100000,4
20,young adult,100000,4
40,comedy,100000,4
100,sci-fi,100000,4
80,NA,100000,4
10,mystery,100000,4
300,fantasy,100000,4
100,horror,100000,4
60,romance,100000,4
40,NA,100000,4
50,fantasy,100000,4
300,young adult,100000,4
70,comedy,100000,4
60,fantasy,100000,4
1000,drama,100000,4
60,young adult,100000,4
40,sci-fi,100000,4
20,romance,100000,4
80,mystery,100000,4
50,romance,100000,4
50,romance,100000,4
60,young adult,100000,4
0,NA,100000,4
900,NA,100000,4
90,romance,100000,4
100,mystery,90000,4
80,mystery,100000,4
500,drama,100000,4
50,romance,100000,4
60,young adult,100000,4
40,young adult,100000,4
100,mystery,80000,4
0,young adult,100000,4
50,fantasy,100000,4
90,drama,90000,4
80,sci-fi,100000,4
100,romance,100000,4
50,romance,100000,4
30,romance,80000,4
40,NA,100000,4
30,young adult,100000,4
80,drama,100000,4
90,mystery,100000,4
80,NA,100000,4
90,drama,50000,4
900,drama,100000,4
70,sci-fi,100000,4
80,sci-fi,100000,4
50,fantasy,100000,4
50,young adult,100000,4
60,romance,100000,4
30,fantasy,70000,5
100,fantasy,100000,4
80,romance,100000,4
100,romance,100000,4
200,young adult,100000,4
100,young adult,100000,4
60,fantasy,100000,4
400,horror,100000,4
40,mystery,90000,4
60,fantasy,100000,4
500,NA,100000,4
50,young adult,100000,4
100,NA,100000,4
30,young adult,70000,4
70,horror,100000,4
100,NA,100000,4
30,fantasy,100000,4
60,romance,100000,4
100,sci-fi,100000,4
60,fantasy,100000,4
70,NA,90000,4
40,young adult,90000,4
100,fantasy,100000,4
60,NA,90000,4
200,sci-fi,90000,4
100,NA,100000,4
20,drama,100000,4
100,mystery,100000,4
500,sci-fi,100000,4
50,romance,100000,4
70,romance,100000,4
70,romance,100000,4
70,drama,100000,3
70,fantasy,100000,4
60,sci-fi,100000,4
80,mystery,100000,4
60,NA,100000,4
100,horror,100000,4
80,fantasy,100000,4
100,fantasy,100000,4
100,drama,100000,4
90,NA,100000,4
100,mystery,100000,4
90,young adult,60000,4
80,romance,90000,3
100,romance,90000,4
60,mystery,80000,3
20,young adult,100000,4
60,fantasy,100000,4
70,comedy,90000,3
60,NA,90000,4
70,fantasy,100000,4
200,drama,100000,4
80,young adult,90000,4
60,romance,100000,4
50,mystery,90000,4
90,romance,90000,4
30,comedy,100000,4
40,comedy,80000,4
70,young adult,100000,4
70,young adult,100000,4
70,fantasy,70000,4
50,drama,90000,4
60,fantasy,90000,4
70,young adult,100000,4
60,thriller,50000,4
80,romance,100000,4
10,young adult,90000,4
90,romance,90000,4
100,comedy,90000,4
80,fantasy,100000,4
40,young adult,90000,4
800,NA,90000,4
700,romance,100000,4
30,romance,100000,4
100,thriller,90000,4
40,romance,90000,4
100,mystery,90000,4
100,thriller,90000,4
80,NA,80000,4
60,fantasy,80000,4
80,fantasy,100000,4
70,NA,90000,4
200,sci-fi,80000,4
50,crime,90000,4
0,fantasy,90000,4
