rounded_book_count,Genre,rounded_rating,rounded_ratings_count
300,young adult,4,4800000
500,fantasy,4,4600000
200,young adult,4,3900000
500,young adult,4,3200000
1000,romance,4,2700000
200,young adult,4,2300000
1000,fantasy,4,2100000
400,young adult,4,2000000
300,mystery,4,2000000
3000,romance,4,2000000
300,drama,4,1800000
200,young adult,4,1900000
1000,sci-fi,4,2000000
900,fantasy,4,1900000
700,young adult,4,2000000
300,mystery,4,1800000
200,young adult,4,1800000
400,fantasy,5,1800000
600,fantasy,4,1800000
200,young adult,4,1700000
300,fantasy,4,1700000
200,mystery,4,1600000
400,fantasy,4,1800000
300,fantasy,5,1800000
300,fantasy,5,1700000
400,thriller,4,1400000
300,fantasy,5,1700000
500,young adult,4,1600000
2000,romance,4,1600000
200,mystery,4,500000
200,drama,4,1500000
400,young adult,4,1500000
200,romance,4,1300000
200,romance,4,1300000
500,fantasy,4,1300000
200,young adult,4,1300000
200,romance,4,700000
100,fantasy,4,1300000
200,romance,4,1200000
200,fantasy,4,1400000
3000,mystery,4,1200000
200,romance,4,1100000
300,fantasy,4,1000000
300,young adult,4,1200000
200,young adult,4,1100000
200,young adult,4,1200000
200,young adult,4,1100000
200,fantasy,4,1100000
300,sci-fi,4,900000
500,sci-fi,4,1000000
200,fantasy,4,1100000
100,young adult,4,900000
2000,young adult,4,1000000
200,young adult,4,1100000
10,mystery,4,1000000
300,fantasy,4,1000000
2000,romance,4,900000
100,drama,4,900000
200,sci-fi,4,800000
400,romance,4,900000
100,young adult,4,900000
200,young adult,4,800000
200,sci-fi,4,800000
3000,horror,4,800000
200,sci-fi,4,700000
200,romance,4,700000
2000,drama,4,700000
100,young adult,4,700000
100,romance,4,700000
2000,fantasy,4,700000
2000,fantasy,4,700000
90,drama,4,600000
100,young adult,4,600000
500,romance,4,600000
200,sci-fi,4,400000
100,sci-fi,4,600000
200,young adult,4,700000
1000,young adult,4,600000
600,romance,4,500000
2000,horror,4,600000
100,romance,4,400000
2000,horror,4,600000
200,mystery,4,600000
100,romance,4,600000
100,fantasy,4,600000
