Rounded up rating,ratings_count,Genre,Class
5,4780653,young adult,yes
5,4602479,fantasy,yes
4,3866839,young adult,yes
5,3198671,young adult,yes
4,2683664,romance,yes
5,2346404,young adult,yes
5,2071616,fantasy,yes
4,2044241,young adult,yes
4,2001311,mystery,yes
5,2035490,romance,yes
5,1813044,drama,yes
5,1903563,young adult,yes
5,1956832,sci-fi,yes
4,1881700,fantasy,yes
5,1972666,young adult,yes
5,1808403,mystery,yes
5,1831039,young adult,yes
5,1832823,fantasy,yes
5,1766803,fantasy,yes
5,1719760,young adult,no
5,1735368,fantasy,yes
4,1605173,mystery,yes
5,1779331,fantasy,yes
5,1753043,fantasy,yes
5,1746574,fantasy,yes
4,1447148,thriller,yes
5,1678823,fantasy,yes
4,1605019,young adult,yes
4,1628519,romance,yes
5,512475,mystery,yes
5,1531753,drama,yes
4,1467496,young adult,yes
5,1300209,romance,yes
4,1338493,romance,yes
4,1299566,fantasy,no
5,1296825,young adult,yes
5,1531800,fantasy,no
4,746287,romance,yes
5,1319204,fantasy,no
4,1181647,romance,yes
5,1366265,fantasy,yes
5,1257121,young adult,no
5,1198557,mystery,yes
5,1053403,romance,yes
4,1003228,fantasy,no
5,1068146,romance,no
5,1159741,young adult,no
4,570498,sci-fi,no
4,1149630,young adult,yes
5,1016888,young adult,no
5,1154031,young adult,yes
4,1134511,young adult,yes
4,1104021,fantasy,yes
5,936782,sci-fi,yes
4,1022601,sci-fi,no
4,1070245,fantasy,yes
5,916189,young adult,yes
4,953758,young adult,yes
5,1064521,young adult,yes
4,867553,young adult,no
4,1008778,mystery,no
4,953970,fantasy,yes
4,899195,romance,yes
5,863879,drama,yes
5,846488,sci-fi,no
5,873981,romance,yes
5,818742,drama,no
5,888806,young adult,yes
5,836362,young adult,no
5,813439,sci-fi,no
4,808589,horror,yes
5,791850,fantasy,no
4,749780,sci-fi,yes
5,783470,young adult,no
4,736498,romance,yes
5,738894,drama,yes
4,747445,young adult,yes
4,665930,romance,yes
4,670326,fantasy,no
5,738757,fantasy,no
5,621099,drama,yes
4,647684,young adult,yes
4,637412,romance,no
4,447833,sci-fi,yes
5,702332,young adult,no
5,597775,mystery,no
5,691231,young adult,no
4,461311,young adult,no
5,628637,sci-fi,yes
5,659248,young adult,yes
5,719925,young adult,no
4,524191,#N/A,no
5,639357,young adult,yes
5,490565,romance,no
5,590014,horror,yes
4,387290,romance,yes
4,618973,horror,yes
5,563994,mystery,no
4,552059,romance,yes
5,546502,drama,no
4,495736,comedy,no
5,620618,fantasy,yes
5,555822,romance,yes
4,504793,sci-fi,no
4,463257,young adult,yes
4,506250,comedy,no
5,546948,drama,yes
4,543658,comedy,yes
5,513407,romance,yes
5,523303,fantasy,no
4,501430,drama,no
5,587647,romance,no
4,563265,comedy,no
5,556518,drama,no
4,488243,drama,no
4,555359,young adult,no
5,615907,fantasy,no
4,515090,drama,yes
5,607889,sci-fi,yes
4,525706,young adult,yes
4,469836,drama,no
4,506900,sci-fi,no
4,488269,thriller,yes
5,511360,drama,no
4,515820,drama,yes
5,485032,sci-fi,no
4,490504,#N/A,no
5,560715,#N/A,no
5,491642,drama,yes
4,520630,drama,no
4,322321,drama,no
4,449501,young adult,no
5,502247,young adult,yes
