average_rating,ratings_count,Genre
4,2000000,young adult
4,2000000,fantasy
3,2000000,young adult
4,2000000,young adult
3,2000000,romance
4,2000000,young adult
4,2000000,fantasy
3,2000000,young adult
3,2000000,mystery
4,2000000,romance
4,1000000,drama
4,1000000,young adult
4,1000000,sci-fi
3,1000000,fantasy
4,1000000,young adult
4,1000000,mystery
4,1000000,young adult
4,1000000,fantasy
4,1000000,fantasy
4,1000000,young adult
4,1000000,fantasy
3,1000000,mystery
4,1000000,fantasy
4,1000000,fantasy
4,1000000,fantasy
3,1000000,thriller
4,1000000,fantasy
3,1000000,young adult
3,1000000,romance
4,500000,mystery
4,1000000,drama
3,1000000,young adult
4,1000000,romance
3,1000000,romance
3,1000000,fantasy
4,1000000,young adult
3,500000,romance
4,1000000,fantasy
3,1000000,romance
4,1000000,fantasy
4,1000000,mystery
4,1000000,romance
3,1000000,fantasy
4,1000000,young adult
3,1000000,young adult
4,1000000,young adult
3,1000000,young adult
3,1000000,fantasy
4,500000,sci-fi
3,1000000,sci-fi
3,1000000,fantasy
4,500000,young adult
3,500000,young adult
4,1000000,young adult
3,1000000,mystery
3,500000,fantasy
3,500000,romance
4,500000,drama
4,500000,sci-fi
4,500000,romance
4,500000,young adult
4,500000,young adult
4,500000,sci-fi
3,500000,horror
3,500000,sci-fi
3,500000,romance
4,500000,drama
3,500000,young adult
3,500000,romance
3,500000,fantasy
4,500000,fantasy
4,500000,drama
3,500000,young adult
3,500000,romance
3,100000,sci-fi
4,500000,sci-fi
4,500000,young adult
4,500000,young adult
4,100000,romance
4,500000,horror
3,100000,romance
3,500000,horror
4,500000,mystery
3,500000,romance
4,500000,fantasy
4,500000,romance
3,500000,sci-fi
3,100000,young adult
4,500000,drama
3,500000,comedy
4,500000,romance
4,500000,fantasy
4,500000,romance
3,500000,young adult
3,500000,drama
4,500000,sci-fi
3,500000,young adult
3,100000,drama
3,100000,thriller
4,500000,drama
4,500000,drama
4,500000,#N/A
4,100000,drama
3,500000,drama
3,100000,drama
4,500000,young adult
4,500000,fantasy
4,100000,fantasy
3,100000,drama
4,500000,romance
4,100000,mystery
4,100000,sci-fi
4,100000,young adult
3,100000,romance
3,500000,young adult
3,100000,fantasy
4,100000,fantasy
3,100000,romance
4,100000,young adult
4,500000,fantasy
3,100000,romance
4,100000,fantasy
3,100000,crime
4,100000,fantasy
4,100000,horror
3,100000,romance
4,100000,romance
3,100000,sci-fi
4,100000,horror
4,100000,crime
3,100000,young adult
4,100000,young adult
4,100000,romance
4,100000,fantasy
4,100000,fantasy
3,100000,#N/A
4,100000,fantasy
4,100000,fantasy
3,100000,drama
4,100000,romance
4,100000,thriller
4,100000,drama
4,100000,comedy
4,100000,mystery
3,100000,mystery
4,100000,fantasy
3,100000,fantasy
4,500000,young adult
4,100000,mystery
4,100000,horror
4,100000,horror
3,100000,romance
3,100000,crime
4,100000,sci-fi
3,100000,thriller
3,100000,young adult
4,100000,drama
3,100000,romance
4,100000,fantasy
4,100000,romance
4,100000,drama
3,100000,fantasy
3,100000,drama
4,100000,young adult
3,100000,horror
3,100000,comedy
4,100000,horror
3,100000,mystery
4,100000,mystery
4,100000,horror
3,100000,young adult
3,100000,drama
3,100000,young adult
4,100000,fantasy
3,100000,sci-fi
4,100000,fantasy
3,100000,romance
3,100000,romance
4,100000,young adult
3,100000,mystery
3,100000,sci-fi
4,100000,romance
4,100000,mystery
4,100000,sci-fi
3,100000,romance
4,100000,drama
4,100000,crime
4,100000,fantasy
3,100000,#N/A
4,100000,romance
3,100000,romance
4,100000,thriller
4,100000,fantasy
4,100000,young adult
3,100000,young adult
4,100000,young adult
3,100000,horror
4,100000,romance
3,100000,#N/A
3,100000,horror
3,100000,romance
4,100000,romance
3,100000,young adult
4,100000,comedy
3,100000,mystery
4,100000,romance
4,100000,drama
3,100000,drama
4,100000,romance
4,100000,drama
3,100000,fantasy
3,100000,romance
3,100000,young adult
3,100000,fantasy
3,100000,thriller
3,100000,young adult
3,100000,young adult
4,100000,comedy
3,100000,drama
3,100000,horror
4,100000,fantasy
3,100000,fantasy
3,100000,young adult
4,100000,sci-fi
3,100000,young adult
4,100000,fantasy
4,100000,sci-fi
4,100000,#N/A
3,100000,horror
3,100000,young adult
4,100000,fantasy
3,100000,young adult
4,100000,fantasy
4,100000,romance
4,100000,romance
3,100000,young adult
3,100000,drama
3,100000,horror
4,100000,fantasy
3,100000,young adult
3,100000,romance
4,100000,horror
3,100000,#N/A
3,100000,romance
4,100000,sci-fi
4,100000,#N/A
4,100000,romance
3,100000,young adult
3,100000,fantasy
4,100000,horror
3,100000,young adult
3,100000,horror
4,100000,young adult
4,100000,fantasy
3,100000,mystery
4,100000,fantasy
3,100000,romance
4,100000,young adult
3,100000,romance
3,100000,drama
3,100000,drama
4,100000,fantasy
3,100000,young adult
3,100000,young adult
3,100000,comedy
4,100000,crime
3,100000,young adult
3,100000,sci-fi
4,100000,horror
4,100000,romance
3,100000,young adult
4,100000,romance
3,100000,horror
3,100000,young adult
4,100000,sci-fi
3,100000,fantasy
4,100000,young adult
4,100000,horror
4,100000,mystery
4,100000,fantasy
4,100000,mystery
4,100000,sci-fi
3,100000,mystery
3,100000,fantasy
4,100000,drama
3,100000,fantasy
4,100000,young adult
4,100000,young adult
4,100000,fantasy
3,100000,sci-fi
3,100000,young adult
3,100000,horror
4,100000,drama
3,100000,horror
3,100000,romance
4,100000,fantasy
4,100000,young adult
4,100000,young adult
3,100000,romance
4,100000,romance
4,100000,#N/A
3,100000,sci-fi
3,100000,fantasy
3,100000,horror
3,100000,fantasy
4,100000,thriller
3,100000,drama
3,100000,young adult
4,100000,young adult
3,100000,thriller
3,100000,fantasy
4,100000,fantasy
4,100000,fantasy
3,100000,young adult
3,100000,horror
4,100000,fantasy
3,100000,mystery
4,100000,fantasy
3,100000,romance
3,100000,thriller
4,100000,fantasy
4,100000,thriller
3,100000,romance
3,100000,sci-fi
3,100000,young adult
3,100000,young adult
3,100000,fantasy
3,100000,drama
3,100000,horror
4,50000,sci-fi
3,100000,thriller
3,100000,romance
3,100000,thriller
3,100000,mystery
4,100000,mystery
3,100000,horror
4,100000,young adult
3,100000,fantasy
4,100000,romance
4,100000,#N/A
3,100000,sci-fi
4,100000,romance
3,100000,romance
3,50000,comedy
3,100000,#N/A
4,100000,fantasy
4,100000,fantasy
4,100000,mystery
3,100000,romance
3,100000,young adult
4,100000,horror
3,100000,mystery
4,100000,fantasy
4,100000,fantasy
4,100000,horror
4,100000,young adult
4,100000,young adult
4,100000,romance
4,100000,drama
4,100000,#N/A
4,100000,mystery
3,100000,drama
3,100000,romance
4,100000,thriller
4,50000,crime
4,100000,young adult
3,100000,comedy
4,100000,thriller
4,100000,fantasy
4,100000,fantasy
3,100000,sci-fi
4,100000,young adult
4,100000,thriller
4,100000,fantasy
3,100000,horror
4,100000,romance
3,100000,fantasy
4,100000,young adult
3,100000,romance
3,100000,young adult
3,100000,mystery
3,100000,young adult
3,100000,drama
4,100000,fantasy
4,100000,sci-fi
3,100000,mystery
3,100000,young adult
3,100000,horror
3,50000,young adult
4,100000,mystery
3,100000,horror
3,100000,horror
4,100000,#N/A
3,100000,young adult
4,100000,fantasy
4,100000,fantasy
4,50000,drama
4,50000,thriller
3,50000,mystery
3,50000,drama
4,100000,thriller
3,100000,horror
3,100000,romance
4,100000,fantasy
3,100000,thriller
4,50000,sci-fi
3,50000,#N/A
4,100000,young adult
3,50000,horror
3,50000,drama
3,100000,young adult
4,50000,horror
3,50000,drama
3,50000,horror
4,50000,fantasy
4,50000,fantasy
4,50000,fantasy
3,50000,#N/A
3,50000,sci-fi
4,10000,crime
4,100000,fantasy
4,50000,mystery
4,50000,sci-fi
4,100000,fantasy
3,100000,young adult
4,50000,romance
4,50000,young adult
4,10000,thriller
3,50000,young adult
3,50000,drama
3,50000,fantasy
3,50000,mystery
4,100000,fantasy
3,50000,romance
3,50000,horror
3,50000,fantasy
3,50000,drama
4,50000,drama
3,50000,romance
4,50000,fairy-tales
4,50000,romance
4,50000,fantasy
3,50000,romance
3,50000,horror
3,50000,romance
4,50000,mystery
3,50000,horror
3,50000,drama
4,50000,thriller
4,50000,#N/A
4,50000,thriller
4,50000,thriller
4,50000,drama
4,50000,young adult
3,50000,suspense
4,50000,mystery
3,50000,romance
3,50000,young adult
3,50000,drama
4,50000,young adult
3,50000,romance
3,50000,sci-fi
3,50000,romance
4,50000,young adult
4,50000,young adult
4,50000,horror
3,50000,fantasy
4,50000,fantasy
3,50000,horror
4,50000,fantasy
4,50000,fantasy
3,50000,young adult
3,50000,thriller
3,50000,romance
4,50000,fantasy
3,50000,fantasy
3,50000,#N/A
4,50000,fantasy
3,50000,horror
4,50000,fantasy
4,10000,young adult
4,50000,thriller
3,50000,drama
4,50000,fantasy
3,50000,horror
3,50000,fantasy
3,50000,young adult
4,50000,young adult
3,50000,crime
4,50000,young adult
3,50000,romance
4,50000,fantasy
3,50000,horror
4,10000,thriller
4,50000,mystery
4,50000,#N/A
4,50000,fantasy
3,50000,romance
4,50000,drama
3,50000,young adult
4,50000,horror
4,100000,young adult
3,50000,drama
3,50000,romance
3,50000,drama
4,50000,young adult
4,50000,young adult
3,50000,romance
4,50000,fantasy
4,10000,fantasy
3,50000,fantasy
3,50000,mystery
4,50000,young adult
4,50000,young adult
4,50000,fantasy
3,50000,horror
4,50000,young adult
3,50000,romance
3,50000,romance
4,10000,drama
3,50000,fantasy
3,50000,fantasy
4,50000,#N/A
3,50000,horror
4,50000,romance
3,10000,thriller
3,50000,thriller
3,50000,romance
3,50000,fantasy
4,50000,horror
3,50000,drama
3,50000,young adult
3,50000,thriller
4,50000,young adult
3,50000,mystery
3,50000,romance
3,50000,young adult
4,50000,fantasy
4,50000,sci-fi
3,50000,fantasy
4,50000,mystery
4,50000,fantasy
4,50000,mystery
3,50000,horror
3,50000,horror
3,50000,romance
4,50000,sci-fi
4,50000,fantasy
