The A.B.C. Murders ,"1936), Agatha Christie",,,,,,,,,,,,,,,,,,,,,,,,,,
À ton image ,"1998), Louise L. Lambrichs",,,,,,,,,,,,,,,,,,,,,,,,,,
De Aanslag ,The Assault) ,"1982), Harry Mulisch",,,,,,,,,,,,,,,,,,,,,,,,,
About a Boy ,"1998), Nick Hornby",,,,,,,,,,,,,,,,,,,,,,,,,,
About Schmidt ,"1996), Louis Begley",,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Power ,"1996), David Baldacci",,,,,,,,,,,,,,,,,,,,,,,,,,
The Accidental Tourist ,"1985), Anne Tyler",,,,,,,,,,,,,,,,,,,,,,,,,,
Across 110th ,"1970), Wally Ferris",,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Resurrected ,"Man, Son of a Dog) ","1971), Yoram Kaniuk",,,,,,,,,,,,,,,,,,,,,,,,,
Adams Fall ,"2000), Sean Desmond",,,,,,,,,,,,,,,,,,,,,,,,,,
Addie Pray ,"1971), Joe David Brown",,,,,,,,,,,,,,,,,,,,,,,,,,
Adiliya by the River ,"1999), Jin Renshun",,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe ,"1816), Benjamin Constant",,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure ,"1911), Jack London",,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventurers ,"1966), Harold Robbins",,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Captain Alatriste ,Las aventuras del Capitán Alatriste) ,1996–present) ,"series), Arturo Pérez-Reverte",,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Hajji Baba of Ispahan ,"1824), James Justinian Morier",,,,,,,,,,,,,,,,,,,,,,,,,,
Adventures of Huckleberry Finn ,"1884), Mark Twain",,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Pinocchio ,"1883), Carlo Collodi",,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Sherlock Holmes ,1891–1892) ,"series), ",1892) ,"novel), Arthur Conan Doyle",,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Tom Sawyer ,"1876), Mark Twain",,,,,,,,,,,,,,,,,,,,,,,,,,
Advise and Consent ,"1959), Allen Drury",,,,,,,,,,,,,,,,,,,,,,,,,,
Aelita ,1923) ,"a. k. a. Aelita or, The Decline of Mars), Alexei Tolstoy",,,,,,,,,,,,,,,,,,,,,,,,,
The African Queen ,"1935), C. S. Forester",,,,,,,,,,,,,,,,,,,,,,,,,,
"After Dark, My Sweet ","1955), Jim Thompson",,,,,,,,,,,,,,,,,,,,,,,,,,
After Hours ,"1979), Edwin Torres",,,,,,,,,,,,,,,,,,,,,,,,,,
After the Funeral ,"1953), Agatha Christie",,,,,,,,,,,,,,,,,,,,,,,,,,
The Age of Innocence ,"1921), Edith Wharton",,,,,,,,,,,,,,,,,,,,,,,,,,
The Agony and the Ecstasy ,"1961), Irving Stone",,,,,,,,,,,,,,,,,,,,,,,,,,
Äideistä parhain ,Mother of Mine) ,"1999), Heikki Hietamies",,,,,,,,,,,,,,,,,,,,,,,,,
Aimez-vous Brahms? ,"1959), Françoise Sagan",,,,,,,,,,,,,,,,,,,,,,,,,,
Air America ,"1985), Christopher Robbins",,,,,,,,,,,,,,,,,,,,,,,,,,
Airborn ,"2004), Kenneth Oppel",,,,,,,,,,,,,,,,,,,,,,,,,,
Airport ,"1968), Arthur Hailey",,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Adams ,"1921), Booth Tarkington",,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Quatermain ,"1887), Sir H. Rider Haggard",,,,,,,,,,,,,,,,,,,,,,,,,,
All Fall Down ,"1960), James Leo Herlihy",,,,,,,,,,,,,,,,,,,,,,,,,,
All the Brothers Were Valiant ,"1919), Ben Ames Williams",,,,,,,,,,,,,,,,,,,,,,,,,,
All the King's Men ,"1946), Robert Penn Warren",,,,,,,,,,,,,,,,,,,,,,,,,,
All the Pretty Horses ,"1992), Cormac McCarthy",,,,,,,,,,,,,,,,,,,,,,,,,,
All the Rivers Run ,"1958), Nancy Cato",,,,,,,,,,,,,,,,,,,,,,,,,,
