Book,Film
"The Saga of Pecos Bill (1923), Edward O'Reilly",Melody Time (1948)Tall Tale (1995)
"Sahara (1992), Clive Cussler",Sahara (2005)
"The Sailor Who Fell from Grace with the Sea (1963) (a.k.a. The Afternoon Towing), Yukio Mishima",The Sailor Who Fell from Grace with the Sea (1976)
"Saint Jack (1973), Paul Theroux",Saint Jack (1979)
"Saint Johnson (1930), W. R. Burnett",Law and Order (1932)Wild West Days (1937)
"The Salamander (1973), Morris West",The Salamander (1981)
"'Salem's Lot (1975), Stephen King",Salem's Lot (1979) (TV)* A Return to Salem's Lot (1987) (TV)'Salem's Lot (2004) (TV)
"Salmon Fishing in the Yemen (2006), Paul Torday",Salmon Fishing in the Yemen (2011)
"A Salute to the Great Macarthy (1971), Barry Oakley",The Great Macarthy (1975)
"Sanctuary (1931), William Faulkner",The Story of Temple Drake (1933)
"The Sand Pebbles (1962), Richard McKenna",The Sand Pebbles (1966)
"Sangre y arena (Blood and Sand) (1909), Vicente Blasco Ibáñez",Blood and Sand (1916)Blood and Sand (1922)Blood and Sand (1941)Blood and Sand (1989)
"The Satan Bug (1962), Alistair MacLean",The Satan Bug (1965)
"Save the Tiger (1972), Steve Shagan",Save the Tiger (1974)
"Sayonara (1954), James A. Michener",Sayonara (1957)
"A Scanner Darkly (1977), Philip K. Dick",A Scanner Darkly (2006)
"Scarface (1929), Armitage Trail",Scarface (1932)Scarface (1983)Scarface (TBA 2013)
"The Scarlet Letter (1850), Nathaniel Hawthorne",The Scarlet Letter (1908)The Scarlet Letter (1911)The Scarlet Letter (1913)The Scarlet Letter (1917)The Scarlet Letter (1920)The Scarlet Letter (1922)The Scarlet Letter (1926)The Scarlet Letter (1934)Der Scharlachrote Buchstabe (1973)The Scarlet Letter (1979) (TV) (mini)The Scarlet Letter (1995)Juhong geulshi (2004)
"The Scarlet Pimpernel (1903–1905), Baroness Emmuska Orczy","The Scarlet Pimpernel (1917)The Laughing Cavalier (1917)The Elusive Pimpernel (1919)The Triumph of the Scarlet Pimpernel (1928)The Scarlet Pimpernel (1934)* Return of the Scarlet Pimpernel (1937)Pimpernel Smith (1941)Pimpernel Svensson (1950)The Elusive Pimpernel (1950) (a.k.a. The Fighting Pimpernel, U.S.A. only)The Scarlet Pimpernel (1960) (TV)Don't Lose Your Head (1966) (a.k.a. Carry On Pimpernel, U.S.A. only)The Elusive Pimpernel (1969)The Scarlet Pimpernel (1982) (TV)The Scarlet Pimpernel (1987) (TV)The Forecourt Pimpernel (2001) (TV)The Black Pimpernel (2006)The Scarlet Pimpernel (2010)"
"The Searchers (1954), Alan Le May",The Searchers (1956)
"Schindler's Ark (1982),[1] Thomas Keneally",Schindler's List (1993)
"The Screaming Mimi (1949), Fredric Brown",The Screaming Mimi (1958)The Bird with the Crystal Plumage (1970)
"The Score (1963), Donald E. Westlake (as Richard Stark)",Mise à sac (1967)The Score (1978)
"The Sea Hawk (1915), Rafael Sabatini",The Sea Hawk (1924)The Sea Hawk (1940)
"The Sea-Wolf (1904), Jack London",The Sea-Wolf (1913)The Sea Wolf (1920)The Sea Wolf (1926)The Sea Wolf (1930)The Sea Wolf (1941)Wolf Larsen (1958)Der Seewolf (1972) (TV) (mini)Il Lupo dei Mari (The Legend of the Sea Wolf) (1975)Morskoj volk (1991) (TV)The Sea Wolf (1993) (TV)The Sea Wolf (1997)The Sea Wolf (2008)Sea Wolf (2009)
"The Second Victory (1958) (a. k. a. Backlash), Morris West",The Second Victory (1986)
The Secret Agent (1907) Joseph Conrad,Sabotage (1936)The Secret Agent (1996)
"The Secret Dreamworld of a Shopaholic (2003), Madeline Wickham (as Sophie Kinsella)",Confessions of a Shopaholic (2009)
"The Secret Life of Bees (2002), Sue Monk Kidd",The Secret Life of Bees (2008)
"A Selva (1900), José Maria Ferreira de Castro (as Ferreira de Castro)",The Forest (2002)
"Sense and Sensibility (1811), Jane Austen",Sense and Sensibility (1981) (TV)Sense and Sensibility (1995)Kandukondain Kandukondain (2000)Sense and Sensibility (2008) (TV)From Prada to Nada (2011)
"Seven Days to a Killing (1973), Clive Egleton",The Black Windmill (1974)
"The Seven-Per-Cent Solution (1974), Nicholas Meyer",The Seven-Per-Cent Solution (1976)
"The Seventh (1967), Donald E. Westlake (as Richard Stark)",The Split (1968)
"A Severa (1900), Júlio Dantas",A Severa (1931)
"The Shadow Line (1917), Joseph Conrad",Smuga cienia (The Shadow Line) (1976)
"The Shadow Riders (1982), Louis L'Amour",The Shadow Riders (1982) (TV)
"Shaft (1970), Ernest Tidyman",Shaft (1971)* Shaft's Big Score (1972)** Shaft in Africa (1973)** * Shaft (2000)
"Shaft's Big Score (1972), Ernest Tidyman",Shaft's Big Score (1972)
"Shalako (1962), Louis L'Amour",Shalako (1968)
"The Shape of Things to Come (1933), H. G. Wells",Things to Come (1936)H. G. Wells' The Shape of Things to Come (1979)
"She: A History of Adventure (1886–87) (serial), (1887) (novel), Sir H. Rider Haggard",La Colonne de feu (The Pillar of Fire) (1899)She (1908)She (1911)She (1916)She (1917)She (1925)She (1935)She (1965)* The Vengeance of She (1968)S+H+E: Security Hazards Expert (1980)She (1982)She (1985)She (2001) (made and released direct-to-video only)
