Version-count,Genre_id,No-of-rating,Rating,Class
300,1,4800000,4.5,1
500,2,4600000,4.5,1
200,1,3900000,3.5,1
500,1,3200000,4.5,1
1000,4,2700000,4,1
200,1,2300000,4.5,1
1000,2,2100000,4.5,1
400,1,2000000,4,1
300,5,2000000,4,1
3000,4,2000000,4,1
300,6,1800000,4.5,1
200,1,1900000,4,1
1000,7,2000000,4,1
900,2,1900000,4,1
700,1,2000000,4,1
300,5,1800000,4,1
200,1,1800000,4.5,1
400,2,1800000,4.5,1
600,2,1800000,4.5,1
200,1,1700000,4,1
300,2,1700000,4.5,1
200,5,1600000,4,1
400,2,1800000,4.5,1
300,2,1800000,4.5,1
300,2,1700000,4.5,1
400,8,1400000,4,1
300,2,1700000,4.5,1
500,1,1600000,3.5,1
2000,4,1600000,3.5,1
200,5,500000,4,1
200,6,1500000,4.5,1
400,1,1500000,4,1
200,4,1300000,4,1
200,4,1300000,3.5,1
500,2,1300000,4,1
200,1,1300000,4,1
500,2,1500000,4,0
200,4,700000,4,1
100,2,1300000,4.5,1
200,4,1200000,3.5,1
200,2,1400000,4,1
2000,1,1300000,4,0
3000,5,1200000,4,1
200,4,1100000,4,1
300,2,1000000,4,1
100,4,1100000,4,0
300,1,1200000,4.5,1
500,7,600000,4,0
200,1,1100000,3.5,1
50,1,1000000,4.5,0
200,1,1200000,4,1
200,1,1100000,3.5,1
200,2,1100000,4,1
300,7,900000,4,1
500,7,1000000,4,1
200,2,1100000,3.5,1
100,1,900000,4,1
2000,1,1000000,4,1
200,1,1100000,4,1
200,1,900000,4,0
10,5,1000000,4,1
300,2,1000000,4,1
2000,4,900000,4,1
100,6,900000,4,1
200,7,800000,4,1
400,4,900000,4.5,1
200,6,800000,4.5,0
100,1,900000,4,1
200,1,800000,4,1
200,7,800000,4.5,1
3000,9,800000,4,1
300,2,800000,4,0
200,7,700000,4,1
200,1,800000,4,0
200,4,700000,4,1
2000,6,700000,4,1
100,1,700000,4,1
100,4,700000,3.5,1
2000,2,700000,3.5,1
2000,2,700000,4.5,1
90,6,600000,4,1
100,1,600000,4,1
500,4,600000,4,1
200,7,400000,4,1
80,1,700000,4.5,0
200,5,600000,4,0
100,1,700000,4.5,0
200,1,500000,4,0
100,7,600000,4.5,1
200,1,700000,4,1
100,1,700000,4,0
1000,1,600000,4,1
600,4,500000,4,1
2000,9,600000,4,1
100,4,400000,4,1
2000,9,600000,4,1
200,5,600000,4,1
100,4,600000,4,1
40,6,500000,4,0
60,10,500000,4,0
100,2,600000,4,1
1000,4,600000,4,1
200,7,500000,4,1
200,1,500000,3.5,1
50,10,500000,4,0
100,6,500000,4,1
100,10,500000,3.5,1
1000,4,500000,4,1
200,2,500000,4.5,1
100,6,500000,3.5,0
200,4,600000,4.5,1
300,10,600000,4,0
200,6,600000,4,0
100,6,500000,4,0
2000,1,600000,4,1
200,2,600000,4,0
100,6,500000,4,1
200,7,600000,4,1
90,1,500000,4,1
400,6,500000,4,1
80,7,500000,3.5,0
10,8,500000,4,1
200,6,500000,4,1
2000,6,500000,4,1
200,7,500000,4,0
300,6,500000,4,1
700,6,500000,3.5,1
400,6,300000,4,1
100,1,400000,4,0
1000,1,500000,4,1
100,2,600000,4.5,1
200,2,500000,4.5,1
80,6,500000,4,1
200,4,500000,4,1
2000,4,500000,3.5,0
200,2,600000,4,0
200,5,400000,4,1
100,7,400000,4.5,1
300,2,500000,4.5,0
100,6,500000,4.5,0
200,8,500000,3.5,0
100,5,400000,4,0
200,1,500000,4,1
200,4,500000,4,1
100,1,500000,4,1
80,6,400000,4,0
100,2,500000,4,0
100,4,400000,4,0
100,2,500000,4,0
2000,2,500000,4,1
500,2,500000,4.5,1
70,4,400000,4,1
70,2,500000,4.5,0
300,1,500000,4,1
90,2,500000,4.5,1
2000,4,500000,4,1
500,2,500000,4.5,1
700,11,400000,4,1
70,2,300000,4.5,0
100,1,500000,4,0
200,2,400000,4,1
80,1,500000,3.5,0
200,2,400000,4,0
200,9,400000,4.5,1
100,4,400000,4,0
200,8,400000,3.5,0
2000,4,500000,4,1
1000,4,300000,4,1
300,7,400000,4,1
100,2,400000,3.5,0
90,2,400000,4.5,0
10,9,300000,4,1
2000,11,400000,4,0
200,6,400000,4,0
200,6,400000,4,0
200,11,400000,4,1
100,1,400000,4,1
100,2,500000,4.5,0
200,1,400000,4.5,1
100,2,400000,4,0
100,4,400000,4,1
100,1,400000,4,0
100,2,400000,4.5,1
400,2,400000,4.5,1
90,2,400000,4.5,1
100,2,400000,4.5,1
2000,6,400000,3.5,1
100,4,400000,4,1
200,8,400000,4,1
100,2,400000,4,0
200,6,400000,4,1
100,10,400000,4,1
500,5,400000,4,1
200,5,400000,3.5,1
90,1,400000,4,0
90,4,400000,4,0
2000,2,400000,4,1
200,2,400000,4,1
90,1,500000,4,1
100,5,400000,4,1
200,9,400000,4,1
100,9,200000,4,1
200,4,300000,4,1
1000,2,400000,4,0
90,2,400000,4.5,0
100,7,300000,4.5,0
90,6,300000,4,0
70,11,300000,4,1
100,4,200000,4,0
300,7,400000,4,1
20,1,300000,4,0
70,1,300000,4,0
100,8,300000,4,1
200,2,400000,4,0
100,1,400000,3.5,1
80,6,300000,4.5,1
100,5,300000,4,0
100,5,300000,4,0
80,4,300000,3.5,1
800,2,300000,4,1
1000,4,400000,4,1
100,6,300000,4,1
200,2,300000,4,1
300,6,300000,4,1
90,1,400000,4,1
100,5,200000,4,0
100,8,300000,4,0
200,9,400000,4,1
80,10,300000,3.5,1
100,9,300000,4,1
200,5,300000,4,1
80,1,300000,4,0
100,5,300000,4,1
200,9,300000,4,1
100,5,200000,4,0
100,1,300000,4,1
100,1,400000,4,0
1000,6,300000,4,1
100,1,300000,4,1
100,1,200000,4.5,0
100,2,300000,4,1
90,1,400000,4,0
50,5,300000,4,0
100,1,400000,4,0
100,7,300000,3.5,1
0,2,300000,4,1
300,5,300000,4,0
100,1,300000,4,0
60,4,300000,3.5,1
100,5,300000,4,0
60,2,300000,4,0
300,4,300000,4,1
100,1,300000,4,1
100,5,300000,4,1
90,4,300000,4.5,0
200,7,300000,4,1
20,4,300000,4,1
300,5,200000,4,1
200,7,300000,4,1
200,4,300000,4,1
100,6,300000,4,1
300,11,300000,4.5,1
100,1,300000,3.5,0
200,7,300000,4,0
100,2,300000,4,0
30,1,300000,4.5,0
100,2,300000,4,0
100,4,300000,4,0
100,5,300000,4,0
200,2,300000,4,1
100,2,300000,4.5,0
100,4,300000,4,0
100,4,300000,4,1
200,4,200000,4,1
100,8,300000,4,1
200,2,300000,4,1
20,10,300000,4,0
70,6,300000,4.5,0
300,1,300000,4,1
3000,1,300000,4,1
70,2,300000,4.5,0
100,7,300000,4.5,0
200,2,300000,4.5,0
200,7,200000,4,0
1000,7,300000,4,0
70,1,200000,4,0
200,1,300000,4,1
1000,9,300000,3.5,1
100,4,300000,4,1
50,6,200000,4,0
200,9,300000,4,1
60,6,300000,4,0
100,2,200000,4.5,0
90,4,300000,4,0
100,2,300000,4,0
70,4,200000,3.5,1
200,4,300000,4,1
100,2,300000,4,0
100,4,200000,4,0
100,1,300000,4,1
100,10,300000,4,1
100,1,300000,4,0
70,1,200000,4,0
100,2,300000,4.5,0
80,5,200000,4,1
70,1,300000,4,0
200,2,300000,4,0
300,4,200000,4,1
80,1,300000,4,0
100,6,200000,4,1
100,6,200000,4,1
90,1,300000,4,0
80,1,200000,4,0
90,2,300000,4,0
80,4,200000,4,1
300,7,300000,4,0
100,6,200000,4.5,1
80,4,300000,4.5,0
200,2,300000,4,1
100,5,200000,4,0
30,7,200000,4.5,0
100,4,200000,4,1
100,2,200000,4.5,0
40,1,300000,4,1
2000,2,200000,4,1
100,5,200000,3.5,0
100,8,200000,4,1
50,10,200000,4,0
200,1,300000,4,0
1000,1,200000,4,1
300,1,300000,4,1
80,1,300000,4,0
200,9,200000,4,0
100,10,200000,4,1
100,2,300000,4.5,0
30,10,300000,4,0
1000,6,200000,4,1
200,9,200000,4,1
90,2,300000,4,1
100,2,300000,4,1
400,1,200000,4,1
40,2,300000,4.5,0
200,7,200000,4,1
2000,1,200000,4,1
200,2,100000,4,0
80,1,300000,4,0
70,2,300000,4.5,1
70,7,200000,4.5,1
80,9,200000,4,1
60,2,200000,4,0
90,1,200000,3.5,1
80,2,200000,4,0
100,7,200000,4,0
60,10,200000,4,0
200,2,200000,4,1
1000,1,200000,4,1
90,1,200000,4,0
200,2,200000,4,1
90,6,200000,4,0
100,2,200000,4,0
200,4,200000,4,1
50,4,200000,4,1
90,1,200000,4,0
70,6,200000,3.5,0
90,1,300000,4.5,0
100,1,200000,4,1
100,6,200000,3.5,1
90,1,200000,3.5,0
80,2,200000,4.5,0
2000,9,200000,4,1
