book_id,title,books_count,isbn,authors,original_title,,language_code,average_rating,ratings_count,Class
1,"The Hunger Games (The Hunger Games, #1)",272,439023483,Suzanne Collins,The Hunger Games,,eng,4.34,4780653,yes
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",491,439554934,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,,eng,4.44,4602479,yes
3,"Twilight (Twilight, #1)",226,316015849,Stephenie Meyer,Twilight,,en-US,3.57,3866839,yes
4,To Kill a Mockingbird,487,61120081,Harper Lee,To Kill a Mockingbird,,eng,4.25,3198671,yes
5,The Great Gatsby,1356,743273567,F. Scott Fitzgerald,The Great Gatsby,,eng,3.89,2683664,yes
6,The Fault in Our Stars,226,525478817,John Green,The Fault in Our Stars,,eng,4.26,2346404,yes
7,The Hobbit,969,618260307,J.R.R. Tolkien,The Hobbit or There and Back Again,,en-US,4.25,2071616,yes
8,The Catcher in the Rye,360,316769177,J.D. Salinger,The Catcher in the Rye,,eng,3.79,2044241,yes
9,"Angels & Demons  (Robert Langdon, #1)",311,1416524797,Dan Brown,Angels & Demons ,,en-CA,3.85,2001311,yes
10,Pride and Prejudice,3455,679783261,Jane Austen,Pride and Prejudice,,eng,4.24,2035490,yes
11,The Kite Runner,283,1594480001,Khaled Hosseini,The Kite Runner ,,eng,4.26,1813044,yes
12,"Divergent (Divergent, #1)",210,62024035,Veronica Roth,Divergent,,eng,4.24,1903563,yes
13,1984,995,451524934,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,,eng,4.14,1956832,yes
14,Animal Farm,896,452284244,George Orwell,Animal Farm: A Fairy Story,,eng,3.87,1881700,yes
15,The Diary of a Young Girl,710,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,,eng,4.1,1972666,yes
16,"The Girl with the Dragon Tattoo (Millennium, #1)",274,307269752,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,,eng,4.11,1808403,yes
17,"Catching Fire (The Hunger Games, #2)",201,439023491,Suzanne Collins,Catching Fire,,eng,4.3,1831039,yes
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",376,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,,eng,4.53,1832823,yes
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",566,618346252,J.R.R. Tolkien, The Fellowship of the Ring,,eng,4.34,1766803,yes
20,"Mockingjay (The Hunger Games, #3)",239,439023513,Suzanne Collins,Mockingjay,,eng,4.03,1719760,no
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",307,439358078,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,,eng,4.46,1735368,yes
22,The Lovely Bones,183,316166685,Alice Sebold,The Lovely Bones,,eng,3.77,1605173,yes
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",398,439064864,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,,eng,4.37,1779331,yes
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",332,439139600,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,,eng,4.53,1753043,yes
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",263,545010225,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,,eng,4.61,1746574,yes
26,"The Da Vinci Code (Robert Langdon, #2)",350,307277674,Dan Brown,The Da Vinci Code,,eng,3.79,1447148,yes
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",275,439785960,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,,eng,4.54,1678823,yes
28,Lord of the Flies,458,140283331,William Golding,Lord of the Flies ,,eng,3.64,1605019,yes
29,Romeo and Juliet,1937,743477111,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,,eng,3.73,1628519,yes
30,Gone Girl,196,297859382,Gillian Flynn,Gone Girl,,eng,4.03,512475,yes
31,The Help,183,399155341,Kathryn Stockett,The Help,,eng,4.45,1531753,yes
32,Of Mice and Men,373,142000671,John Steinbeck,Of Mice and Men ,,eng,3.84,1467496,yes
33,Memoirs of a Geisha,220,739326228,Arthur Golden,Memoirs of a Geisha,,eng,4.08,1300209,yes
34,"Fifty Shades of Grey (Fifty Shades, #1)",169,1612130291,E.L. James,Fifty Shades of Grey,,eng,3.67,1338493,yes
35,The Alchemist,458,61122416,"Paulo Coelho, Alan R. Clarke",O Alquimista,,eng,3.82,1299566,no
36,"The Giver (The Giver, #1)",192,385732554,Lois Lowry,The Giver,,eng,4.12,1296825,yes
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",474,60764899,C.S. Lewis,"The Lion, the Witch and the Wardrobe",,eng,4.19,1531800,no
38,The Time Traveler's Wife,167,965818675,Audrey Niffenegger,The Time Traveler's Wife,,eng,3.95,746287,yes
39,"A Game of Thrones (A Song of Ice and Fire, #1)",101,553588486,George R.R. Martin,A Game of Thrones,,eng,4.45,1319204,no
40,"Eat, Pray, Love",185,143038419,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",,eng,3.51,1181647,yes
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",159,786838655,Rick Riordan,The Lightning Thief,,eng,4.23,1366265,yes
42,"Little Women (Little Women, #1)",1707,451529308,Louisa May Alcott,Little Women,,en-US,4.04,1257121,no
43,Jane Eyre,2568,142437204,"Charlotte Brontë, Michael Mason",Jane Eyre,,eng,4.1,1198557,yes
44,"The Notebook (The Notebook, #1)",190,553816713,Nicholas Sparks,The Notebook,,eng,4.06,1053403,yes
45,Life of Pi,264,770430074,Yann Martel,Life of Pi,,,3.88,1003228,no
46,Water for Elephants,128,1565125606,Sara Gruen,Water for Elephants,,eng,4.07,1068146,no
47,The Book Thief,251,375831002,Markus Zusak,The Book Thief,,eng,4.36,1159741,no
48,Fahrenheit 451,507,307347974,Ray Bradbury,Fahrenheit 451,,spa,3.97,570498,no
49,"New Moon (Twilight, #2)",194,316160199,Stephenie Meyer,"New Moon (Twilight, #2)",,eng,3.52,1149630,yes
50,Where the Sidewalk Ends,45,60513039,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,,eng,4.29,1016888,no
51,"City of Bones (The Mortal Instruments, #1)",178,1416914285,Cassandra Clare,City of Bones,,eng,4.12,1154031,yes
52,"Eclipse (Twilight, #3)",185,316160202,Stephenie Meyer,Eclipse,,en-US,3.69,1134511,yes
53,"Eragon (The Inheritance Cycle, #1)",217,375826696,Christopher Paolini,Eragon,,en-US,3.86,1104021,yes
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",257,345391802,Douglas Adams,The Hitchhiker's Guide to the Galaxy,,en-US,4.2,936782,yes
55,Brave New World,515,60929871,Aldous Huxley,Brave New World,,eng,3.97,1022601,no
56,"Breaking Dawn (Twilight, #4)",183,031606792X,Stephenie Meyer,Breaking Dawn,,en-US,3.7,1070245,yes
57,The Secret Life of Bees,125,142001740,Sue Monk Kidd,The Secret Life of Bees,,en-US,4.01,916189,yes
58,The Adventures of Huckleberry Finn,2277,142437174,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,,eng,3.8,953758,yes
59,Charlotte's Web,180,64410935,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,,eng,4.15,1064521,yes
60,The Curious Incident of the Dog in the Night-Time,183,1400032717,Mark Haddon,The Curious Incident of the Dog in the Night-Time,,eng,3.85,867553,no
61,The Girl on the Train,14,1594633665,Paula Hawkins,The Girl on the Train,,eng,3.88,1008778,no
62,"The Golden Compass (His Dark Materials, #1)",287,679879242,Philip Pullman,Northern Lights,,eng,3.94,953970,yes
63,Wuthering Heights,2498,393978893,"Emily Brontë, Richard J. Dunn",Wuthering Heights,,eng,3.82,899195,yes
64,My Sister's Keeper,125,743454537,Jodi Picoult,My Sister's Keeper,,eng,4.06,863879,yes
65,Slaughterhouse-Five,241,385333846,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",,eng,4.06,846488,no
66,Gone with the Wind,409,446675539,Margaret Mitchell,Gone with the Wind,,eng,4.28,873981,yes
67,A Thousand Splendid Suns,197,1594489505,Khaled Hosseini,A Thousand Splendid Suns,,eng,4.34,818742,no
68,The Perks of Being a Wallflower,128,671027344,Stephen Chbosky,The Perks of Being a Wallflower,,eng,4.21,888806,yes
69,"Insurgent (Divergent, #2)",164,7442912,Veronica Roth,Insurgent,,eng,4.07,836362,no
70,"Ender's Game (Ender's Saga, #1)",224,812550706,Orson Scott Card,Ender's Game,,eng,4.3,813439,no
71,Frankenstein,2618,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",,eng,3.75,808589,yes
72,The Shining (The Shining #1),289,450040186,Stephen King,The Shining,,eng,4.17,791850,no
73,"The Host (The Host, #1)",161,316068047,Stephenie Meyer,The Host,,en-US,3.84,749780,yes
74,Looking for Alaska,187,142402516,John Green,Looking for Alaska,,eng,4.09,783470,no
75,"Bridget Jones's Diary (Bridget Jones, #1)",193,014028009X,Helen Fielding,,,eng,3.75,736498,yes
76,Sense and Sensibility,1969,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,,eng,4.06,738894,yes
77,"Holes (Holes, #1)",138,439244196,"Louis Sachar, Louis Sachar",Holes,,eng,3.93,747445,yes
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",129,307275558,Lauren Weisberger,The Devil Wears Prada,,eng,3.7,665930,yes
79,The Odyssey,1703,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,,eng,3.73,670326,no
80,The Little Prince,1708,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,,eng,4.28,738757,no
81,The Glass Castle,92,074324754X,Jeannette Walls,The Glass Castle,,eng,4.24,621099,yes
82,Into the Wild,108,385486804,Jon Krakauer,Into the Wild,,eng,3.94,647684,yes
83,A Tale of Two Cities,525,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,,eng,3.81,637412,no
84,"Jurassic Park (Jurassic Park, #1)",176,030734813X,Michael Crichton,Jurassic Park,,spa,3.96,447833,yes
85,The Giving Tree,81,60256656,Shel Silverstein,The Giving Tree,,eng,4.38,702332,no
86,A Time to Kill,158,385338600,John Grisham,A Time to Kill,,eng,4.03,597775,no
87,Night (The Night Trilogy #1),109,374500010,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,,eng,4.3,691231,no
88,Paper Towns,178,014241493X,John Green,Paper Towns,,en-US,3.88,461311,no
89,The Princess Bride ,129,345418263,William Goldman,The Princess Bride,,en-US,4.25,628637,yes
90,The Outsiders,156,014038572X,S.E. Hinton,The Outsiders,,en-US,4.06,659248,yes
91,"The Maze Runner (Maze Runner, #1)",147,385737947,James Dashner,The Maze Runner,,eng,4.02,719925,no
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",124,61234001,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,,en-US,3.93,524191,no
93,The Secret Garden,1350,517189607,Frances Hodgson Burnett,The Secret Garden,,eng,4.12,639357,yes
94,One Hundred Years of Solitude,555,60531045,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,,eng,4.04,490565,no
95,The Picture of Dorian Gray,2303,375751513,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,,eng,4.06,590014,yes
96,"Fifty Shades Freed (Fifty Shades, #3)",133,345803507,E.L. James,Fifty Shades Freed,,eng,3.88,387290,yes
97,Dracula,2207,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,,eng,3.98,618973,yes
98,"The Girl Who Played with Fire (Millennium, #2)",209,307269981,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,,eng,4.22,563994,no
99,"Fifty Shades Darker (Fifty Shades, #2)",147,1612130585,E.L. James,Fifty Shades Darker,,eng,3.87,552059,yes
100,The Poisonwood Bible,39,60786507,Barbara Kingsolver,The Poisonwood Bible,,eng,4.02,546502,no
101,Me Talk Pretty One Day,59,349113912,David Sedaris,Me Talk Pretty One Day,,eng,3.97,495736,no
102,Where the Wild Things Are,110,99408392,Maurice Sendak,Where the Wild Things Are,,eng,4.22,620618,yes
103,The Count of Monte Cristo,1310,140449264,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,,eng,4.21,555822,yes
104,The Road,181,307265439,Cormac McCarthy,The Road,,eng,3.95,504793,no
105,"Allegiant (Divergent, #3)",153,7524277,Veronica Roth,Allegiant,,eng,3.63,463257,yes
106,Bossypants,48,,Tina Fey,Bossypants,,eng,3.94,506250,no
107,A Walk to Remember,131,446693804,Nicholas Sparks,A Walk to Remember,,en-US,4.15,546948,yes
108,"Confessions of a Shopaholic (Shopaholic, #1)",144,440241413,Sophie Kinsella,Confessions of a Shopaholic,,eng,3.61,543658,yes
109,Les Misérables,1319,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,,eng,4.14,513407,yes
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",202,553381695,George R.R. Martin,A Clash of Kings,,eng,4.4,523303,no
111,The Memory Keeper's Daughter,98,143037145,Kim Edwards,The Memory Keeper's Daughter,,eng,3.64,501430,no
112,"Me Before You (Me Before You, #1)",168,670026603,Jojo Moyes,Me Before You,,eng,4.27,587647,no
113,Catch-22,251,684833395,Joseph Heller,Catch-22,,en-US,3.98,563265,no
114,Tuesdays with Morrie,172,751529818,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,,eng,4.06,556518,no
115,Middlesex,125,312422156,Jeffrey Eugenides,Middlesex,,en-US,3.98,488243,no
116,The Adventures of Tom Sawyer,2448,143039563,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,,eng,3.89,555359,no
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",165,440498058,Madeleine L'Engle,A Wrinkle in Time,,en-US,4.04,615907,no
118,The Joy Luck Club,126,143038095,Amy Tan,The Joy Luck Club,,eng,3.9,515090,yes
119,The Handmaid's Tale,236,038549081X,Margaret Atwood,The Handmaid's Tale,,eng,4.06,607889,yes
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",93,385729332,Ann Brashares,The Sisterhood of the Traveling Pants,,eng,3.75,525706,yes
121,Lolita,370,,"Vladimir Nabokov, Craig Raine",Lolita,,eng,3.88,469836,no
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",80,60987103,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,,eng,3.52,506900,no
123,"The Firm (Penguin Readers, Level 5)",11,582418275,John Grisham,The Firm,,eng,3.99,488269,yes
124,Room,151,316098337,Emma Donoghue,Room,,eng,4.03,511360,no
125,Hamlet,1929,521618746,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",,eng,4,515820,yes
126,Dune (Dune Chronicles #1),241,340839937,Frank Herbert,Dune,,eng,4.19,485032,no
127,The Tipping Point: How Little Things Can Make a Big Difference,100,316346624,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,,eng,3.92,490504,no
128,Steve Jobs,190,1451648537,Walter Isaacson,Steve Jobs,,eng,4.09,560715,no
