Num,Author,Title,ID
"301  Lonesome Dove
      
        by
Larry McMurtry
        
        
          
                 4.48 avg rating — 127,879 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Lonesome Dove
    
    by
    Larry McMurtry
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,427,
              and
              33 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Lonesome Dove,256008
"302  Cheaper by the Dozen
      
        by
Frank B. Gilbreth Jr.
        
        
          
                 4.01 avg rating — 33,504 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Cheaper by the Dozen
    
    by
    Frank B. Gilbreth Jr.
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,417,
              and
              33 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Cheaper by the Dozen,764903
"303  Anna Karenina
      
        by
Leo Tolstoy
        
        
          
                 4.03 avg rating — 530,004 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Anna Karenina
    
    by
    Leo Tolstoy
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,401,
              and
              30 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Anna Karenina,15823480
"304  The Fountainhead
      
        by
Ayn Rand
        
        
          
                 3.86 avg rating — 271,849 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Fountainhead
    
    by
    Ayn Rand
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,376,
              and
              30 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Fountainhead,2122
"305  Different Seasons
      
        by
Stephen King (Goodreads Author)
        
        
          
                 4.35 avg rating — 151,534 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Different Seasons
    
    by
    Stephen King
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,341,
              and
              34 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Different Seasons,39662
"306  A Christmas Carol
      
        by
Charles Dickens
        
        
          
                 4.03 avg rating — 499,541 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    A Christmas Carol
    
    by
    Charles Dickens
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,330,
              and
              34 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,A Christmas Carol,5326
"307  Relic (Pendergast, #1)
      
        by
Douglas Preston (Goodreads Author)
        
        
          
                 4.02 avg rating — 81,209 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Relic
    
    by
    Douglas Preston
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,311,
              and
              27 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Relic (Pendergast, #1)",67035
"308  Let the Right One In
      
        by
John Ajvide Lindqvist
        
        
          
                 4.07 avg rating — 74,630 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Let the Right One In
    
    by
    John Ajvide Lindqvist
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,278,
              and
              26 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Let the Right One In,943402
"309  Hearts in Atlantis
      
        by
Stephen King (Goodreads Author)
        
        
          
                 3.81 avg rating — 76,395 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Hearts in Atlantis
    
    by
    Stephen King
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,240,
              and
              29 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Hearts in Atlantis,11602
"310  Insurgent (Divergent, #2)
      
        by
Veronica Roth (Goodreads Author)
        
        
          
                 4.05 avg rating — 1,014,558 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Insurgent
    
    by
    Veronica Roth
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,226,
              and
              26 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Insurgent (Divergent, #2)",11735983
"311  The French Lieutenant's Woman
      
        by
John Fowles
        
        
          
                 3.86 avg rating — 42,040 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The French Lieutenant's Woman
    
    by
    John Fowles
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,197,
              and
              29 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The French Lieutenant's Woman,56034
"312  Papillon
      
        by
Henri Charrière
        
        
          
                 4.24 avg rating — 47,040 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Papillon
    
    by
    Henri Charrière
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,194,
              and
              28 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Papillon,6882
"313  Even Cowgirls Get the Blues
      
        by
Tom Robbins
        
        
          
                 3.75 avg rating — 46,187 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Even Cowgirls Get the Blues
    
    by
    Tom Robbins
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,188,
              and
              29 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Even Cowgirls Get the Blues,7572
"314  Forrest Gump (Forrest Gump, #1)
      
        by
Winston Groom
        
        
          
                 4.06 avg rating — 53,966 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Forrest Gump
    
    by
    Winston Groom
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,180,
              and
              27 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Forrest Gump (Forrest Gump, #1)",186190
"315  World War Z: An Oral History of the Zombie War
      
        by
Max Brooks (Goodreads Author)
        
        
          
                 4.01 avg rating — 373,597 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    World War Z: An Oral History of the Zombie War
    
    by
    Max Brooks
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,179,
              and
              25 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,World War Z: An Oral History of the Zombie War,8908
"316  The Stepford Wives
      
        by
Ira Levin
        
        
          
                 3.73 avg rating — 23,984 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Stepford Wives
    
    by
    Ira Levin
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,164,
              and
              30 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Stepford Wives,52350
"317  The Giver
      
        by
Lois Lowry (Goodreads Author)
        
        
          
                 4.12 avg rating — 1,454,905 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Giver
    
    by
    Lois Lowry
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,146,
              and
              27 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Giver,3636
"318  Alive: The Story of the Andes Survivors
      
        by
Piers Paul Read
        
        
          
                 4.10 avg rating — 56,577 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Alive: The Story of the Andes Survivors
    
    by
    Piers Paul Read
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,134,
              and
              29 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Alive: The Story of the Andes Survivors,401514
"319  Love Story (Love Story, #1)
      
        by
Erich Segal
        
        
          
                 3.61 avg rating — 47,815 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Love Story
    
    by
    Erich Segal
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,130,
              and
              31 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Love Story (Love Story, #1)",73968
"320  The Borrowers (The Borrowers, #1)
      
        by
Mary Norton
        
        
          
                 4.03 avg rating — 81,951 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Borrowers
    
    by
    Mary Norton
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,105,
              and
              28 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Borrowers (The Borrowers, #1)",348573
