Author,Title,ID
,"Fruits Basket, Vol. 7",877752
,If Only It Were True,386887
,High Noon,3369993
,Disappearing Acts,122211
,What the Deaf-Mute Heard,1237825
,30 Days of Night: Official Novelization of The Film,289294
,Legion,219362
,Running Out of Time,227658
,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",106264
,"Redwall (Redwall, #1)",423098
,"Fruits Basket, Vol. 8",856937
,Paper Moon,232965
,Under the Volcano,31072
,"The Lying Game (The Lying Game, #1)",8428069
,Wild: From Lost to Found on the Pacific Crest Trail,12262741
,"Fruits Basket, Vol. 10",836610
,The Ice Storm,15374
,A Farewell to Arms,10799
,Sounder,598117
,The Redemption of Sarah Cain,918895
,The Eagle of the Ninth,149405
,Resident Evil: Extinction,221280
,"Fruits Basket, Vol. 9",836609
,The Ghost,895185
,"Six's Legacy (Lorien Legacies: The Lost Files, #1)",11473506
,"The Search for Sam (Lorien Legacies: The Lost Files, #4)",15752308
,Under the Dome,6320534
,The Curious Case of Benjamin Button,747746
,"Fruits Basket, Vol. 11",836608
,Crimson Rivers,161503
,Billy Bathgate,871284
,"Fruits Basket, Vol. 12",244813
,"Romulus, My Father",432450
,How to Deal,295406
,Less Than Zero,9915
,The Death and Life of Charlie St. Cloud,831890
,"Fruits Basket, Vol. 13",46911
,Hulk: The Official Movie Adaptation,1054990
,The Zookeeper's Wife,32722510
,Poison,1060562
,Shrek!,843550
,Apt Pupil,10618
,Room,7937843
,The Diving Bell and the Butterfly,193755
,Minority Report and Other Stories,534004
,The Circle,18302455
,Indiana Jones and the Temple of Doom (Indiana Jones #2),407224
,"Fruits Basket, Vol. 14",46908
,"Fruits Basket, Vol. 15",46906
,Out of Sight,288962
,"Fruits Basket, Vol. 16",244812
,"Fruits Basket, Vol. 17",271198
,The Sun Also Rises,3876
,The Truth About Forever,51737
,"The Big Bounce (Jack Ryan, #1)",313929
,"Here be Dragons (Welsh Princes, #1)",77449
,Katherine,33609
,Random Harvest,413618
,I Am the Cheese,48974
,Treasure Island,295
,"The Gunslinger (The Dark Tower, #1)",43615
,Flipped,331920
,Emma,46769
,The Del-Gangs of New York: An Informal History of the Underworld,4491321
,Little Big Man,50667
,A Walk in the Woods,9791
,"Chitty Chitty Bang Bang (Chitty Chitty Bang Bang, #1)",576335
,"Rosemary's Baby (Rosemary's Baby, #1)",228296
,"Fruits Basket, Vol. 18",271244
,"Princess in Love (The Princess Diaries, #3)",93728
,"The Long Goodbye (Philip Marlowe, #6)",2054
,"Fruits Basket, Vol. 19",1258027
,Love's Enduring Promise (Love Comes Softly #2),31507
,We the Living,668
,"The Man With the Golden Gun (James Bond, #13)",177193
,"Fruits Basket, Vol. 20",1586905
,The Chronicles of Riddick,35126
,The End of Eternity,509784
,Eye of the Needle,92364
,"The Drawing of the Three (The Dark Tower, #2)",5094
,The Great Gatsby,4673
,American Hardcore: A Tribal History,98542
,"Taking Woodstock: A True Story of a Riot, a Concert, and a Life",1826053
,"Aliens vs. Predator: Prey (Aliens Vs. Predator, # 1)",123586
,"The Scarlet Pimpernel (The Scarlet Pimpernel, #1)",764350
,"Tsubasa: Those with Wings, Omnibus 1",6080796
,The Canterbury Tales,2696
,Cold Comfort Farm,92780
,"Odd Thomas (Odd Thomas, #1)",14995
,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #15)",79885
,"Fruits Basket, Vol. 21",1854354
,Handle with Care,3720975
,Jonathan Strange & Mr Norrell,14201
,"The Color of Magic (Discworld, #1; Rincewind #1)",34497
,Tick Tock,281433
,"Conan the Destroyer (Conan, #6)",152242
,Eloise,782854
,"The Little House Collection (Little House, #1-9)",114345
,The Masque of the Red Death,204779
,The Day of the Locust,113441
