Num,Author,Title,ID
"201  Love in the Time of Cholera
      
        by
Gabriel García Márquez
        
        
          
                 3.90 avg rating — 348,889 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Love in the Time of Cholera
    
    by
    Gabriel García Márquez
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 5,281,
              and
              63 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Love in the Time of Cholera,9712
"202  The Diary of a Young Girl
      
        by
Anne Frank
        
        
          
                 4.12 avg rating — 2,287,798 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Diary of a Young Girl
    
    by
    Anne Frank
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 5,215,
              and
              67 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Diary of a Young Girl,48855
"203  Dreamcatcher
      
        by
Stephen King (Goodreads Author)
        
        
          
                 3.61 avg rating — 134,681 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Dreamcatcher
    
    by
    Stephen King
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 5,212,
              and
              68 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Dreamcatcher,11570
"204  In Cold Blood
      
        by
Truman Capote
        
        
          
                 4.06 avg rating — 445,308 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    In Cold Blood
    
    by
    Truman Capote
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 5,169,
              and
              67 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,In Cold Blood,168642
"205  The Unbearable Lightness of Being
      
        by
Milan Kundera
        
        
          
                 4.09 avg rating — 277,789 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Unbearable Lightness of Being
    
    by
    Milan Kundera
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 5,024,
              and
              56 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Unbearable Lightness of Being,9717
"206  Choke
      
        by
Chuck Palahniuk (Goodreads Author)
        
        
          
                 3.70 avg rating — 171,244 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Choke
    
    by
    Chuck Palahniuk
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 4,980,
              and
              56 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Choke,29059
"207  The Power of One (The Power of One, #1)
      
        by
Bryce Courtenay
        
        
          
                 4.34 avg rating — 68,353 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Power of One
    
    by
    Bryce Courtenay
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 4,959,
              and
              53 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Power of One (The Power of One, #1)",122
"208  Snow Falling on Cedars
      
        by
David Guterson
        
        
          
                 3.82 avg rating — 151,027 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Snow Falling on Cedars
    
    by
    David Guterson
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 4,916,
              and
              60 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Snow Falling on Cedars,77142
"209  American Psycho
      
        by
Bret Easton Ellis
        
        
          
                 3.82 avg rating — 196,591 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    American Psycho
    
    by
    Bret Easton Ellis
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 4,880,
              and
              60 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,American Psycho,28676
"210  The Voyage of the Dawn Treader (Chronicles of Narnia, #3)
      
        by
C.S. Lewis
        
        
          
                 4.09 avg rating — 350,313 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Voyage of the Dawn Treader
    
    by
    C.S. Lewis
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 4,788,
              and
              59 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",140225
