Author,Title,ID
,Cold Mountain,10920
,The Runaway Jury,24192
,The Client,5359
,Jumanji,525995
,"Confessions of a Shopaholic (Shopaholic, #1)",9416
,Starship Troopers,17214
,Wuthering Heights,6185
,Of Mice and Men,890
,Congo,7672
,James and the Giant Peach,6689
,Marley and Me: Life and Love With the World's Worst Dog,12691
,"The Girl with the Dragon Tattoo (Millennium, #1)",2429135
,A Clockwork Orange,227463
,Skipping Christmas,5357
,The Lost World (Jurassic Park #2),8650
,The Green Mile,11566
,The Help,4667024
,Watchmen,472331
,The Prince of Tides,16735
,"Flowers in the Attic (Dollanganger, #1)",43448
,The Bridges of Madison County,83674
,"The City of Ember (Book of Ember, #1)",307791
,Tuck Everlasting,84981
,The Beach,607639
,"The Dark Is Rising (The Dark is Rising, #2)",210329
,"City of Bones (The Mortal Instruments, #1)",256683
,Firestarter,233667
,Alice's Adventures in Wonderland & Through the Looking-Glass,24213
,The Secret Life of Bees,37435
,Where the Red Fern Grows,10365
,The Handmaid's Tale,38447
,Beloved,6149
,Fahrenheit 451,17470674
,The Cider House Rules,4687
,'Salem's Lot,11590
,The Neverending Story,27712
,A Little Princess,3008
,"Little House on the Prairie (Little House, #2)",77767
,"The Silence of the Lambs  (Hannibal Lecter, #2)",23807
,"Dead Until Dark (Sookie Stackhouse, #1)",301082
,Water for Elephants,43641
,Midnight in the Garden of Good and Evil,386187
,Carrie,10592
,"Divergent (Divergent, #1)",13335037
,The Scarlet Letter,12296
,"The Princess Diaries (The Princess Diaries, #1)",38980
,Dear John,5526
,"A Wrinkle in Time (Time Quintet, #1)",33574273
,The Last Song,6400090
,The Shipping News,7354
,"Watership Down (Watership Down, #1)",76620
,The Witches,6327
,The War of the Worlds,8909
,"Along Came a Spider (Alex Cross, #1)",13145
,"I, Robot (Robot, #0.1)",41804
,"The Three Musketeers (The D'Artagnan Romances, #1)",7190
,Beowulf,52357
,The World According to Garp,7069
,Christine,10629
,Coraline,17061
,Lolita,7604
,Hamlet,1420
,The Namesake,33917
,High Fidelity,285092
,The Memory Keeper's Daughter,10441
,"The Wonderful Wizard of Oz (Oz, #1)",236093
,"The Host (The Host, #1)",1656001
,Emma,6969
,The Color Purple,11486
,The Time Machine,2493
,Message in a Bottle,3478
,Because of Winn-Dixie,357664
,The Picture of Dorian Gray,5297
,"Catch-22 (Catch-22, #1)",168668
,The Pelican Brief,32499
,The Tale of Despereaux,37190
,Fight Club,5759
,The Godfather,22034
,"Red Dragon (Hannibal Lecter, #1)",28877
,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",28186
,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",99107
,"Chocolat (Chocolat, #1)",47401
,"Angela's Ashes (Frank McCourt, #1)",252577
,Everything Is Illuminated,256566
,The Crucible,17250
,Cujo,10603
,V for Vendetta,5805
,The Name of the Rose,119073
,Mansfield Park,45032
,Bridge to Terabithia,2839
,"Catching Fire (The Hunger Games, #2)",6148028
,The House of the Spirits,9328
,Seabiscuit: An American Legend,110737
,"The League of Extraordinary Gentlemen, Vol. 1",297627
,In Her Shoes,14758
,The Little Mermaid,132391
,Fried Green Tomatoes at the Whistle Stop Cafe,9375
,"I Am Number Four (Lorien Legacies, #1)",7747374
,The Virgin Suicides,10956
,"Eat, Pray, Love",19501
,Love in the Time of Cholera,9712
,The Diary of a Young Girl,48855
,Dreamcatcher,11570
,In Cold Blood,168642
,The Unbearable Lightness of Being,9717
,Choke,29059
,"The Power of One (The Power of One, #1)",122
,Snow Falling on Cedars,77142
,American Psycho,28676
,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",140225
