Author,Title,ID
,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3
,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5
,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",6
,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",11
,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,30
,"The Lord of the Rings (The Lord of the Rings, #1-3)",33
,"The Fellowship of the Ring (The Lord of the Rings, #1)",34
,"The Power of One (The Power of One, #1)",122
,Treasure Island,295
,Perfume: The Story of a Murderer,343
,The Lovely Bones,536
,Of Mice and Men,890
,The Westing Game,902
,Memoirs of a Geisha,929
,Memoirs of a Geisha,930
,"Angels & Demons  (Robert Langdon, #1)",960
,"The Da Vinci Code (Robert Langdon, #2)",968
,"The Good Earth (House of Earth, #1)",1078
,"The Clan of the Cave Bear (Earth's Children, #1)",1295
,Hamlet,1420
,A Midsummer Night's Dream,1622
,Brokeback Mountain,1627
,Into the Wild,1845
,Pride and Prejudice,1885
,Little Women,1934
,"The Big Sleep (Philip Marlowe, #1)",2052
,"The Long Goodbye (Philip Marlowe, #6)",2054
,The Jane Austen Book Club,2152
,Great Expectations,2623
,To Kill a Mockingbird,2657
,Bridge to Terabithia,2839
,Girl with a Pearl Earring,2865
,"Bleach, Volume 01",2880
,Robinson Crusoe,2932
,The Adventures of Huckleberry Finn,2956
,The Secret Garden,2998
,A Little Princess,3008
,A Walk to Remember,3473
,"Moonraker (James Bond, #3)",3750
,"Casino Royale (James Bond, #1)",3758
,"Goldfinger (James Bond, #7)",3759
,"Diamonds Are Forever (James Bond, #4)",3760
,"On Her Majesty's Secret Service (James Bond, #11)",3762
,"Live and Let Die (James Bond, #2)",3763
,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,3980
,About a Boy,4271
,The Great Gatsby,4671
,"The Dark Tower (The Dark Tower, #7)",5091
,"The Devil Wears Prada (The Devil Wears Prada, #1)",5139
,"The Deep End of the Ocean (Cappadora Family, #1)",5161
,Where the Heart Is,5168
,The Picture of Dorian Gray,5297
,A Christmas Carol,5326
,The Firm,5358
,"The Firm (Penguin Readers, Level 5)",5358
,Forever Amber ,5368
,Carrie / 'Salem's Lot / The Shining,5417
,1984,5470
,Animal Farm / 1984,5472
,Brave New World Revisited ,5481
,The Wind in the Willows,5659
,Fight Club,5759
,V for Vendetta,5805
,The Hobbit,5907
,Wuthering Heights,6185
,"Howl's Moving Castle (Howl's Moving Castle, #1)",6294
,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",6310
,James and the Giant Peach,6689
,"One for the Money (Stephanie Plum, #1)",6853
,Atonement,6867
,Emma,6969
,Do Androids Dream of Electric Sheep?,7082
,The Count of Monte Cristo,7126
,"The Three Musketeers (The D'Artagnan Romances, #1)",7190
,The Glass Castle,7445
,Sex and the City,7455
,The Blind Side: Evolution of a Game,7526
,Reading Lolita in Tehran,7603
,Animal Farm,7613
,Lord of the Flies,7624
,Timeline,7669
,"Jurassic Park (Jurassic Park, #1)",7677
,Gulliver's Travels,7733
,The Joy Luck Club,7763
,"The Bourne Identity (Jason Bourne, #1)",7869
