Num,Author,Title,ID
"1  Ready Player One (Ready Player One, #1)
      
        by
Ernest Cline (Goodreads Author)
        
        
          
                 4.29 avg rating — 652,808 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Ready Player One
    
    by
    Ernest Cline
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,563,
              and
              26 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Ready Player One (Ready Player One, #1)",9969571
"2  The Selection (The Selection, #1)
      
        by
Kiera Cass (Goodreads Author)
        
        
          
                 4.14 avg rating — 670,143 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Selection
    
    by
    Kiera Cass
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,791,
              and
              18 people voted Read
Thanks for rating.
Write a review
Edit my review
·
View shelf
Write a review
·
View shelf
Error rating book. Refresh and try again.
My rating:
Clear rating
1 of 5 stars2 of 5 stars[ 3 of 5 stars ]4 of 5 stars5 of 5 stars",,"The Selection (The Selection, #1)",10507293
"3  Simon vs. the Homo Sapiens Agenda (Creekwood, #1)
      
        by
Becky Albertalli (Goodreads Author)
        
        
          
                 4.33 avg rating — 174,438 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Simon vs. the Homo Sapiens Agenda
    
    by
    Becky Albertalli
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,682,
              and
              17 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Simon vs. the Homo Sapiens Agenda (Creekwood, #1)",19547856
"4  A Wrinkle in Time (Time Quintet, #1)
      
        by
Madeleine L'Engle
        
        
          
                 4.02 avg rating — 808,710 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    A Wrinkle in Time
    
    by
    Madeleine L'Engle
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,678,
              and
              17 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"A Wrinkle in Time (Time Quintet, #1)",18131
"5  The Hate U Give
      
        by
Angie Thomas (Goodreads Author)
        
        
          
                 4.56 avg rating — 211,300 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Hate U Give
    
    by
    Angie Thomas
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,486,
              and
              15 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Hate U Give,32075671
"6  All the Bright Places
      
        by
Jennifer Niven (Goodreads Author)
        
        
          
                 4.18 avg rating — 199,235 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    All the Bright Places
    
    by
    Jennifer Niven
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,371,
              and
              14 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,All the Bright Places,18460392
"7  The Tale of Peter Rabbit
      
        by
Beatrix Potter
        
        
          
                 4.17 avg rating — 179,968 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Tale of Peter Rabbit
    
    by
    Beatrix Potter
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,268,
              and
              13 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Tale of Peter Rabbit,19321
"8  The Darkest Minds (The Darkest Minds, #1)
      
        by
Alexandra Bracken (Goodreads Author)
        
        
          
                 4.22 avg rating — 115,842 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Darkest Minds
    
    by
    Alexandra Bracken
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,183,
              and
              12 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Darkest Minds (The Darkest Minds, #1)",10576365
"9  The Death Cure (The Maze Runner, #3)
      
        by
James Dashner (Goodreads Author)
        
        
          
                 3.77 avg rating — 288,592 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Death Cure
    
    by
    James Dashner
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,064,
              and
              11 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Death Cure (The Maze Runner, #3)",7864437
"10  Fifty Shades Freed (Fifty Shades, #3)
      
        by
E.L. James (Goodreads Author)
        
        
          
                 3.87 avg rating — 639,317 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Fifty Shades Freed
    
    by
    E.L. James
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 977,
              and
              10 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Fifty Shades Freed (Fifty Shades, #3)",13536860
