Num,Author,Title,ID
"1  Maniac Magee
      
        by
Jerry Spinelli
        
        
          
                 3.87 avg rating — 107,855 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Maniac Magee
    
    by
    Jerry Spinelli
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 497,
              and
              5 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Maniac Magee,139463
"2  The Face on the Milk Carton (Janie Johnson, #1)
      
        by
Caroline B. Cooney
        
        
          
                 3.72 avg rating — 49,872 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Face on the Milk Carton
    
    by
    Caroline B. Cooney
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 490,
              and
              5 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Face on the Milk Carton (Janie Johnson, #1)",19469
"3  Speak
      
        by
Laurie Halse Anderson (Goodreads Author)
        
        
          
                 4.01 avg rating — 406,896 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Speak
    
    by
    Laurie Halse Anderson
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 476,
              and
              5 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Speak,439288
"4  Christy
      
        by
Catherine Marshall
        
        
          
                 4.22 avg rating — 45,544 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Christy
    
    by
    Catherine Marshall
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 388,
              and
              4 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Christy,35879889
"4  The Adventures of Captain Underpants (Captain Underpants, #1)
      
        by
Dav Pilkey
        
        
          
                 3.90 avg rating — 29,792 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Adventures of Captain Underpants
    
    by
    Dav Pilkey
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 388,
              and
              4 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Adventures of Captain Underpants (Captain Underpants, #1)",207266
"6  From the Mixed-Up Files of Mrs. Basil E. Frankweiler
      
        by
E.L. Konigsburg
        
        
          
                 4.15 avg rating — 157,255 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    From the Mixed-Up Files of Mrs. Basil E. Frankweiler
    
    by
    E.L. Konigsburg
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 384,
              and
              4 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,3980
"7  Bunnicula (Bunnicula, #1)
      
        by
James Howe
        
        
          
                 3.84 avg rating — 56,191 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Bunnicula
    
    by
    James Howe
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 380,
              and
              4 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Bunnicula (Bunnicula, #1)",281235
"8  The Westing Game
      
        by
Ellen Raskin
        
        
          
                 4.03 avg rating — 137,706 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Westing Game
    
    by
    Ellen Raskin
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 299,
              and
              3 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Westing Game,902
"9  The Eagle of the Ninth
      
        by
Rosemary Sutcliff
        
        
          
                 3.92 avg rating — 7,660 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Eagle of the Ninth
    
    by
    Rosemary Sutcliff
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 288,
              and
              3 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Eagle of the Ninth,956168
"10  Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library #1)
      
        by
Chris Grabenstein (Goodreads Author)
        
        
          
                 4.13 avg rating — 29,480 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Escape from Mr. Lemoncello's Library
    
    by
    Chris Grabenstein
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 287,
              and
              3 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library #1),16054808
"11  The Cross and the Switchblade
      
        by
David Wilkerson
        
        
          
                 4.22 avg rating — 42,717 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Cross and the Switchblade
    
    by
    David Wilkerson
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 198,
              and
              2 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Cross and the Switchblade,772852
"12  Brighton Rock
      
        by
Graham Greene
        
        
          
                 3.72 avg rating — 18,380 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Brighton Rock
    
    by
    Graham Greene
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 197,
              and
              2 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Brighton Rock,48862
"13  The Little White Horse
      
        by
Elizabeth Goudge
        
        
          
                 4.09 avg rating — 10,116 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Little White Horse
    
    by
    Elizabeth Goudge
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 191,
              and
              2 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Little White Horse,420180
"14  The Guernsey Literary and Potato Peel Pie Society
      
        by
Mary Ann Shaffer
        
        
          
                 4.14 avg rating — 489,230 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Guernsey Literary and Potato Peel Pie Society
    
    by
    Mary Ann Shaffer
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 185,
              and
              2 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Guernsey Literary and Potato Peel Pie Society,2728527
"15  Birdsong
      
        by
Sebastian Faulks
        
        
          
                 4.08 avg rating — 60,252 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Birdsong
    
    by
    Sebastian Faulks
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 100,
              and
              1 person voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Birdsong,18586507
