Num,Author,Title,ID
"1  The Princess Bride
      
        by
William Goldman
        
        
          
                 4.26 avg rating — 684,426 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Princess Bride
    
    by
    William Goldman
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 136,356,
              and
              1,375 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Princess Bride,21787
"2  The Notebook (The Notebook, #1)
      
        by
Nicholas Sparks (Goodreads Author)
        
        
          
                 4.07 avg rating — 1,143,856 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Notebook
    
    by
    Nicholas Sparks
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 130,047,
              and
              1,311 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Notebook (The Notebook, #1)",15931
"3  The Devil Wears Prada (The Devil Wears Prada, #1)
      
        by
Lauren Weisberger
        
        
          
                 3.72 avg rating — 725,728 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Devil Wears Prada
    
    by
    Lauren Weisberger
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 126,537,
              and
              1,275 people voted Read
Thanks for rating.
Write a review
Edit my review
·
View shelf
Write a review
·
View shelf
Error rating book. Refresh and try again.
My rating:
Clear rating
1 of 5 stars2 of 5 stars[ 3 of 5 stars ]4 of 5 stars5 of 5 stars",,"The Devil Wears Prada (The Devil Wears Prada, #1)",5139
"4  The Lord of the Rings (The Lord of the Rings, #1-3)
      
        by
J.R.R. Tolkien
        
        
          
                 4.49 avg rating — 479,017 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Lord of the Rings
    
    by
    J.R.R. Tolkien
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 108,390,
              and
              1,094 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Lord of the Rings (The Lord of the Rings, #1-3)",33
"5  Stardust
      
        by
Neil Gaiman (Goodreads Author)
        
        
          
                 4.08 avg rating — 300,443 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Stardust
    
    by
    Neil Gaiman
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 94,089,
              and
              952 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Stardust,16793
"6  Fight Club
      
        by
Chuck Palahniuk (Goodreads Author)
        
        
          
                 4.20 avg rating — 421,738 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Fight Club
    
    by
    Chuck Palahniuk
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 85,764,
              and
              871 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Fight Club,5759
"7  Bridget Jones's Diary (Bridget Jones, #1)
      
        by
Helen Fielding (Goodreads Author)
        
        
          
                 3.76 avg rating — 811,691 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Bridget Jones's Diary
    
    by
    Helen Fielding
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 77,820,
              and
              791 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Bridget Jones's Diary (Bridget Jones, #1)",227443
"8  Forrest Gump (Forrest Gump, #1)
      
        by
Winston Groom
        
        
          
                 4.06 avg rating — 53,935 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Forrest Gump
    
    by
    Winston Groom
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 67,317,
              and
              685 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Forrest Gump (Forrest Gump, #1)",186190
"9  The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)
      
        by
C.S. Lewis
        
        
          
                 4.20 avg rating — 1,797,888 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Lion, the Witch and the Wardrobe
    
    by
    C.S. Lewis
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 62,452,
              and
              636 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",100915
"10  A Walk to Remember
      
        by
Nicholas Sparks (Goodreads Author)
        
        
          
                 4.16 avg rating — 582,643 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    A Walk to Remember
    
    by
    Nicholas Sparks
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 59,655,
              and
              609 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,A Walk to Remember,3473
