Num,Author,Title,ID
"1  Forrest Gump (Forrest Gump, #1)
      
        by
Winston Groom
        
        
          
                 4.06 avg rating — 53,950 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Forrest Gump
    
    by
    Winston Groom
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 269,100,
              and
              2,741 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Forrest Gump (Forrest Gump, #1)",186190
"2  The Devil Wears Prada (The Devil Wears Prada, #1)
      
        by
Lauren Weisberger
        
        
          
                 3.72 avg rating — 725,865 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Devil Wears Prada
    
    by
    Lauren Weisberger
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 217,482,
              and
              2,222 people voted Read
Thanks for rating.
Write a review
Edit my review
·
View shelf
Write a review
·
View shelf
Error rating book. Refresh and try again.
My rating:
Clear rating
1 of 5 stars2 of 5 stars[ 3 of 5 stars ]4 of 5 stars5 of 5 stars",,"The Devil Wears Prada (The Devil Wears Prada, #1)",5139
"3  Jurassic Park (Jurassic Park, #1)
      
        by
Michael Crichton
        
        
          
                 3.99 avg rating — 706,858 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Jurassic Park
    
    by
    Michael Crichton
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 189,947,
              and
              1,963 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Jurassic Park (Jurassic Park, #1)",6424171
"4  Jumanji
      
        by
Chris Van Allsburg
        
        
          
                 4.04 avg rating — 23,802 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Jumanji
    
    by
    Chris Van Allsburg
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 187,288,
              and
              1,968 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Jumanji,525995
"5  Mary Poppins (Mary Poppins, #1)
      
        by
P.L. Travers
        
        
          
                 4.04 avg rating — 96,192 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Mary Poppins
    
    by
    P.L. Travers
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 154,521,
              and
              1,606 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Mary Poppins (Mary Poppins, #1)",152380
"6  Catch Me If You Can: The True Story of a Real Fake
      
        by
Frank W. Abagnale
        
        
          
                 4.06 avg rating — 40,874 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Catch Me If You Can: The True Story of a Real Fake
    
    by
    Frank W. Abagnale
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 142,412,
              and
              1,493 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Catch Me If You Can: The True Story of a Real Fake,138269
"7  The Wonderful Wizard of Oz (Oz, #1)
      
        by
L. Frank Baum
        
        
          
                 3.98 avg rating — 308,202 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Wonderful Wizard of Oz
    
    by
    L. Frank Baum
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 130,605,
              and
              1,392 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Wonderful Wizard of Oz (Oz, #1)",236093
"8  The Notebook (The Notebook, #1)
      
        by
Nicholas Sparks (Goodreads Author)
        
        
          
                 4.07 avg rating — 1,144,159 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Notebook
    
    by
    Nicholas Sparks
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 130,409,
              and
              1,369 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Notebook (The Notebook, #1)",15931
"9  Charlie and the Chocolate Factory (Charlie Bucket, #1)
      
        by
Roald Dahl
        
        
          
                 4.12 avg rating — 552,679 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Charlie and the Chocolate Factory
    
    by
    Roald Dahl
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 129,276,
              and
              1,398 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",6310
"10  A Beautiful Mind
      
        by
Sylvia Nasar
        
        
          
                 4.12 avg rating — 111,477 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    A Beautiful Mind
    
    by
    Sylvia Nasar
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 121,977,
              and
              1,295 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,A Beautiful Mind,13912
