Num,Author,Title,ID
"1  Shrek!
      
        by
William Steig
        
        
          
                 3.78 avg rating — 3,947 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Shrek!
    
    by
    William Steig
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 14,888,
              and
              151 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Shrek!,843550
"2  Forrest Gump (Forrest Gump, #1)
      
        by
Winston Groom
        
        
          
                 4.06 avg rating — 53,950 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Forrest Gump
    
    by
    Winston Groom
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 12,838,
              and
              133 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Forrest Gump (Forrest Gump, #1)",186190
"3  Jurassic Park (Jurassic Park, #1)
      
        by
Michael Crichton
        
        
          
                 3.99 avg rating — 706,858 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Jurassic Park
    
    by
    Michael Crichton
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 10,846,
              and
              111 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Jurassic Park (Jurassic Park, #1)",7677
"4  Peter Pan
      
        by
J.M. Barrie
        
        
          
                 4.09 avg rating — 222,382 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Peter Pan
    
    by
    J.M. Barrie
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 9,990,
              and
              104 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Peter Pan,34268
"5  Jumanji
      
        by
Chris Van Allsburg
        
        
          
                 4.04 avg rating — 23,802 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Jumanji
    
    by
    Chris Van Allsburg
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 9,719,
              and
              103 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Jumanji,525995
"6  The Devil Wears Prada (The Devil Wears Prada, #1)
      
        by
Lauren Weisberger
        
        
          
                 3.72 avg rating — 725,865 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Devil Wears Prada
    
    by
    Lauren Weisberger
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 8,452,
              and
              90 people voted Read
Thanks for rating.
Write a review
Edit my review
·
View shelf
Write a review
·
View shelf
Error rating book. Refresh and try again.
My rating:
Clear rating
1 of 5 stars2 of 5 stars[ 3 of 5 stars ]4 of 5 stars5 of 5 stars",,"The Devil Wears Prada (The Devil Wears Prada, #1)",5139
"7  The Fellowship of the Ring (The Lord of the Rings, #1)
      
        by
J.R.R. Tolkien
        
        
          
                 4.35 avg rating — 2,018,275 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Fellowship of the Ring
    
    by
    J.R.R. Tolkien
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 8,001,
              and
              82 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Fellowship of the Ring (The Lord of the Rings, #1)",34
"8  Charlie and the Chocolate Factory (Charlie Bucket, #1)
      
        by
Roald Dahl
        
        
          
                 4.12 avg rating — 552,679 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Charlie and the Chocolate Factory
    
    by
    Roald Dahl
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 7,677,
              and
              81 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",6310
"9  Catch Me If You Can: The True Story of a Real Fake
      
        by
Frank W. Abagnale
        
        
          
                 4.06 avg rating — 40,874 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Catch Me If You Can: The True Story of a Real Fake
    
    by
    Frank W. Abagnale
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 7,028,
              and
              76 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Catch Me If You Can: The True Story of a Real Fake,138269
"10  Pinocchio
      
        by
Carlo Collodi
        
        
          
                 3.86 avg rating — 61,248 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Pinocchio
    
    by
    Carlo Collodi
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 6,614,
              and
              71 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Pinocchio,180617
