Num,Author,Title,ID
"1  Harry Potter and the Order of the Phoenix (Harry Potter, #5)
      
        by
J.K. Rowling
        
        
          
                 4.48 avg rating — 2,037,997 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Order of the Phoenix
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 476,631,
              and
              4,819 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"2  Twilight (Twilight, #1)
      
        by
Stephenie Meyer
        
        
          
                 3.58 avg rating — 4,273,121 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Twilight
    
    by
    Stephenie Meyer
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 415,786,
              and
              4,210 people voted Read
Thanks for rating.
Write a review
Edit my review
·
View shelf
Write a review
·
View shelf
Error rating book. Refresh and try again.
My rating:
Clear rating
1 of 5 stars[ 2 of 5 stars ]3 of 5 stars4 of 5 stars5 of 5 stars",,"Twilight (Twilight, #1)",41865
"3  Harry Potter and the Goblet of Fire (Harry Potter, #4)
      
        by
J.K. Rowling
        
        
          
                 4.54 avg rating — 2,075,315 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Goblet of Fire
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 404,361,
              and
              4,131 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",6
"4  Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)
      
        by
J.K. Rowling
        
        
          
                 4.55 avg rating — 2,215,083 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Prisoner of Azkaban
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 368,088,
              and
              3,791 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5
"5  Harry Potter and the Sorcerer's Stone (Harry Potter, #1)
      
        by
J.K. Rowling
        
        
          
                 4.46 avg rating — 5,586,436 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Sorcerer's Stone
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 331,693,
              and
              3,450 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3
"6  The Da Vinci Code (Robert Langdon, #2)
      
        by
Dan Brown (Goodreads Author)
        
        
          
                 3.81 avg rating — 1,666,866 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Da Vinci Code
    
    by
    Dan Brown
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 326,111,
              and
              3,309 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Da Vinci Code (Robert Langdon, #2)",968
"7  Harry Potter and the Chamber of Secrets (Harry Potter, #2)
      
        by
J.K. Rowling
        
        
          
                 4.40 avg rating — 2,161,488 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Chamber of Secrets
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 307,378,
              and
              3,223 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",15881
"8  Harry Potter and the Half-Blood Prince (Harry Potter, #6)
      
        by
J.K. Rowling
        
        
          
                 4.55 avg rating — 1,988,410 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Half-Blood Prince
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 265,203,
              and
              2,808 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"9  Eragon (The Inheritance Cycle, #1)
      
        by
Christopher Paolini (Goodreads Author)
        
        
          
                 3.88 avg rating — 1,240,358 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Eragon
    
    by
    Christopher Paolini
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 225,700,
              and
              2,321 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Eragon (The Inheritance Cycle, #1)",113436
"10  Memoirs of a Geisha
      
        by
Arthur Golden
        
        
          
                 4.09 avg rating — 1,523,755 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Memoirs of a Geisha
    
    by
    Arthur Golden
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 200,130,
              and
              2,034 people voted Want to Read
#
on your
To Read
shelf.
View shelf
Save
Cancel
Thanks for rating.
Write a review
Edit my review
·
View shelf
Write a review
·
View shelf
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Memoirs of a Geisha,930
"11  The Cat in the Hat
      
        by
Dr. Seuss
        
        
          
                 4.16 avg rating — 344,872 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Cat in the Hat
    
    by
    Dr. Seuss
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 198,278,
              and
              2,042 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Cat in the Hat,233093
