Num,Author,Title,ID
"1  The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)
      
        by
C.S. Lewis
        
        
          
                 4.20 avg rating — 1,798,545 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Lion, the Witch and the Wardrobe
    
    by
    C.S. Lewis
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 2,190,
              and
              22 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",100915
"2  Alice's Adventures in Wonderland & Through the Looking-Glass
      
        by
Lewis Carroll
        
        
          
                 4.07 avg rating — 409,473 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Alice's Adventures in Wonderland & Through the Looking-Glass
    
    by
    Lewis Carroll
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,844,
              and
              19 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Alice's Adventures in Wonderland & Through the Looking-Glass,24213
"3  Peter Pan
      
        by
J.M. Barrie
        
        
          
                 4.09 avg rating — 222,382 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Peter Pan
    
    by
    J.M. Barrie
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,581,
              and
              14 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Peter Pan,34268
"4  Winnie-the-Pooh (Winnie-the-Pooh, #1)
      
        by
A.A. Milne
        
        
          
                 4.34 avg rating — 230,468 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Winnie-the-Pooh
    
    by
    A.A. Milne
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,232,
              and
              12 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",99107
"5  The Sword in the Stone (The Once and Future King, #1)
      
        by
T.H. White
        
        
          
                 3.91 avg rating — 21,251 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Sword in the Stone
    
    by
    T.H. White
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,157,
              and
              12 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Sword in the Stone (The Once and Future King, #1)",316845
"6  Mary Poppins (Mary Poppins, #1)
      
        by
P.L. Travers
        
        
          
                 4.04 avg rating — 96,192 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Mary Poppins
    
    by
    P.L. Travers
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 1,026,
              and
              11 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Mary Poppins (Mary Poppins, #1)",152380
"7  Treasure Island
      
        by
Robert Louis Stevenson
        
        
          
                 3.83 avg rating — 343,225 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Treasure Island
    
    by
    Robert Louis Stevenson
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 885,
              and
              10 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Treasure Island,295
"8  The Princess Diaries (The Princess Diaries, #1)
      
        by
Meg Cabot (Goodreads Author)
        
        
          
                 3.77 avg rating — 214,608 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Princess Diaries
    
    by
    Meg Cabot
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 775,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Princess Diaries (The Princess Diaries, #1)",38980
"9  The Swiss Family Robinson
      
        by
Johann David Wyss
        
        
          
                 3.92 avg rating — 89,218 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Swiss Family Robinson
    
    by
    Johann David Wyss
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 769,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Swiss Family Robinson,62111
"10  The Voyage of the Dawn Treader (Chronicles of Narnia, #3)
      
        by
C.S. Lewis
        
        
          
                 4.09 avg rating — 350,187 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Voyage of the Dawn Treader
    
    by
    C.S. Lewis
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 752,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",140225
"11  Tuck Everlasting
      
        by
Natalie Babbitt
        
        
          
                 3.86 avg rating — 197,108 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Tuck Everlasting
    
    by
    Natalie Babbitt
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 745,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Tuck Everlasting,84981
"11  The 101 Dalmatians (The Hundred and One Dalmatians, #1)
      
        by
Dodie Smith
        
        
          
                 4.12 avg rating — 31,127 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The 101 Dalmatians
    
    by
    Dodie Smith
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 745,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The 101 Dalmatians (The Hundred and One Dalmatians, #1)",511614
"13  Pollyanna (Pollyanna, #1)
      
        by
Eleanor H. Porter
        
        
          
                 3.97 avg rating — 69,035 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Pollyanna
    
    by
    Eleanor H. Porter
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 739,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Pollyanna (Pollyanna, #1)",1000751
"14  Prince Caspian (Chronicles of Narnia, #2)
      
        by
C.S. Lewis
        
        
          
                 3.97 avg rating — 296,355 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Prince Caspian
    
    by
    C.S. Lewis
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 738,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Prince Caspian (Chronicles of Narnia, #2)",121749
"15  The Prince and the Pauper
      
        by
Mark Twain
        
        
          
                 3.85 avg rating — 97,805 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Prince and the Pauper
    
    by
    Mark Twain
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 723,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Prince and the Pauper,62446
"16  Basil of Baker Street (Basil of Baker Street, #1)
      
        by
Eve Titus
        
        
          
                 3.92 avg rating — 1,374 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Basil of Baker Street
    
    by
    Eve Titus
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 709,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Basil of Baker Street (Basil of Baker Street, #1)",1005680
"17  Holes (Holes, #1)
      
        by
Louis Sachar
        
        
          
                 3.95 avg rating — 840,454 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Holes
    
    by
    Louis Sachar
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 652,
              and
              8 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Holes (Holes, #1)",38709
"18  The Adventures of Huckleberry Finn
      
        by
Mark Twain
        
        
          
                 3.81 avg rating — 1,057,553 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Adventures of Huckleberry Finn
    
    by
    Mark Twain
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 637,
              and
              7 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Adventures of Huckleberry Finn,2956
"19  Pinocchio
      
        by
Carlo Collodi
        
        
          
                 3.86 avg rating — 61,249 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Pinocchio
    
    by
    Carlo Collodi
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 623,
              and
              7 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Pinocchio,180617
"19  Old Yeller
      
        by
Fred Gipson
        
        
          
                 4.07 avg rating — 76,674 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Old Yeller
    
    by
    Fred Gipson
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 623,
              and
              7 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Old Yeller,130580
"21  The Hunchback of Notre-Dame
      
        by
Victor Hugo
        
        
          
                 3.99 avg rating — 148,648 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Hunchback of Notre-Dame
    
    by
    Victor Hugo
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 610,
              and
              7 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Hunchback of Notre-Dame,30597
"22  Johnny Tremain
      
        by
Esther Forbes
        
        
          
                 3.63 avg rating — 35,757 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Johnny Tremain
    
    by
    Esther Forbes
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 606,
              and
              7 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Johnny Tremain,816870
"23  Bambi
      
        by
Felix Salten
        
        
          
                 4.11 avg rating — 30,801 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Bambi
    
    by
    Felix Salten
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 584,
              and
              6 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Bambi,739840
"24  Bridge to Terabithia
      
        by
Katherine Paterson
        
        
          
                 3.99 avg rating — 383,870 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Bridge to Terabithia
    
    by
    Katherine Paterson
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 569,
              and
              5 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,Bridge to Terabithia,2839
"25  The Jungle Book
      
        by
Rudyard Kipling
        
        
          
                 3.94 avg rating — 89,958 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Jungle Book
    
    by
    Rudyard Kipling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 543,
              and
              6 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Jungle Book,77270
"26  A Christmas Carol
      
        by
Charles Dickens
        
        
          
                 4.03 avg rating — 499,335 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    A Christmas Carol
    
    by
    Charles Dickens
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 521,
              and
              6 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,A Christmas Carol,5326
