Num,Author,Title,ID
"1  Eragon (The Inheritance Cycle, #1)
      
        by
Christopher Paolini (Goodreads Author)
        
        
          
                 3.88 avg rating — 1,240,687 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Eragon
    
    by
    Christopher Paolini
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 300,
              and
              3 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Eragon (The Inheritance Cycle, #1)",113436
"2  The Surrogates
      
        by
Robert Venditti (Goodreads Author)
        
        
          
                 3.72 avg rating — 1,364 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Surrogates
    
    by
    Robert Venditti
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 199,
              and
              2 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Surrogates,181182
"3  The Positronic Man (Robot #0.6)
      
        by
Isaac Asimov
        
        
          
                 4.08 avg rating — 5,157 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Positronic Man
    
    by
    Isaac Asimov
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 193,
              and
              2 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,The Positronic Man (Robot #0.6),651964
"4  From Hell
      
        by
Alan Moore (Goodreads Author)
        
        
          
                 4.16 avg rating — 28,945 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    From Hell
    
    by
    Alan Moore
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 189,
              and
              2 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,From Hell,23529
"5  Essential Howard the Duck, Vol. 1
      
        by
Steve Gerber
        
        
          
                 4.17 avg rating — 247 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Essential Howard the Duck, Vol. 1
    
    by
    Steve Gerber
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 100,
              and
              1 person voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Essential Howard the Duck, Vol. 1",262070
"5  Harry Potter and the Order of the Phoenix (Harry Potter, #5)
      
        by
J.K. Rowling
        
        
          
                 4.48 avg rating — 2,038,784 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Order of the Phoenix
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 100,
              and
              1 person voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"7  Harry Potter and the Half-Blood Prince (Harry Potter, #6)
      
        by
J.K. Rowling
        
        
          
                 4.55 avg rating — 1,989,197 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Half-Blood Prince
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 99,
              and
              1 person voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"7  Eclipse (Twilight, #3)
      
        by
Stephenie Meyer
        
        
          
                 3.69 avg rating — 1,242,059 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Eclipse
    
    by
    Stephenie Meyer
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 99,
              and
              1 person voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Eclipse (Twilight, #3)",428263
"7  Ruby Red (Precious Stone Trilogy, #1)
      
        by
Kerstin Gier
        
        
          
                 4.12 avg rating — 91,696 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Ruby Red
    
    by
    Kerstin Gier
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 99,
              and
              1 person voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Ruby Red (Precious Stone Trilogy, #1)",8835379
"10  Harry Potter and the Goblet of Fire (Harry Potter, #4)
      
        by
J.K. Rowling
        
        
          
                 4.54 avg rating — 2,076,270 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Goblet of Fire
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 98,
              and
              1 person voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",6
