Num,Author,Title,ID
"1  Harry Potter and the Sorcerer's Stone (Harry Potter, #1)
      
        by
J.K. Rowling
        
        
          
                 4.46 avg rating — 5,588,910 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Sorcerer's Stone
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 97,013,
              and
              997 people voted Want to Read
saving…
Read
Currently Reading
Want to Read
Add """" Shelf
Add shelf
Add
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3
"2  Harry Potter and the Chamber of Secrets (Harry Potter, #2)
      
        by
J.K. Rowling
        
        
          
                 4.40 avg rating — 2,162,513 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Chamber of Secrets
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 82,160,
              and
              855 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",15881
"3  Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)
      
        by
J.K. Rowling
        
        
          
                 4.55 avg rating — 2,216,054 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Prisoner of Azkaban
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 81,402,
              and
              845 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5
"4  Harry Potter and the Goblet of Fire (Harry Potter, #4)
      
        by
J.K. Rowling
        
        
          
                 4.54 avg rating — 2,076,258 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Goblet of Fire
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 76,356,
              and
              808 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",6
"5  Harry Potter and the Order of the Phoenix (Harry Potter, #5)
      
        by
J.K. Rowling
        
        
          
                 4.48 avg rating — 2,038,784 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Order of the Phoenix
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 72,267,
              and
              767 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"6  Twilight (Twilight, #1)
      
        by
Stephenie Meyer
        
        
          
                 3.58 avg rating — 4,274,228 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Twilight
    
    by
    Stephenie Meyer
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 69,460,
              and
              729 people voted Read
Thanks for rating.
Write a review
Edit my review
·
View shelf
Write a review
·
View shelf
Error rating book. Refresh and try again.
My rating:
Clear rating
1 of 5 stars[ 2 of 5 stars ]3 of 5 stars4 of 5 stars5 of 5 stars",,"Twilight (Twilight, #1)",41865
"7  Harry Potter and the Half-Blood Prince (Harry Potter, #6)
      
        by
J.K. Rowling
        
        
          
                 4.55 avg rating — 1,989,197 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Half-Blood Prince
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 64,598,
              and
              697 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"8  New Moon (Twilight, #2)
      
        by
Stephenie Meyer
        
        
          
                 3.53 avg rating — 1,267,443 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    New Moon
    
    by
    Stephenie Meyer
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 48,219,
              and
              524 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"New Moon (Twilight, #2)",49041
"9  The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)
      
        by
C.S. Lewis
        
        
          
                 4.20 avg rating — 1,798,545 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    The Lion, the Witch and the Wardrobe
    
    by
    C.S. Lewis
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 47,711,
              and
              516 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",100915
"10  Harry Potter and the Deathly Hallows (Harry Potter, #7)
      
        by
J.K. Rowling
        
        
          
                 4.62 avg rating — 2,066,277 ratings
          
        
                  
              Vote For This Book
              
                
  
  
    Harry Potter and the Deathly Hallows
    
    by
    J.K. Rowling
  
  
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
  Added to my books!
    
      add my review
        
  
              
            
                
                  added to your list ()
                    remove
                  
                
                  
              score: 47,487,
              and
              537 people voted Want to Read
saving…
Error rating book. Refresh and try again.
Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",136251
