Genre,rounded_book_count,rounded_ratings_count,rounded_rating_2,Class_New
young adult,300,4800000,4.5,yes
fantasy,500,4600000,4.5,yes
young adult,200,3900000,3.5,yes
young adult,500,3200000,4.5,yes
romance,1000,2700000,4,yes
young adult,200,2300000,4.5,yes
fantasy,1000,2100000,4.5,yes
young adult,400,2000000,4,yes
mystery,300,2000000,4,yes
romance,3000,2000000,4,yes
drama,300,1800000,4.5,yes
young adult,200,1900000,4,yes
sci-fi,1000,2000000,4,yes
fantasy,900,1900000,4,yes
young adult,700,2000000,4,yes
mystery,300,1800000,4,yes
young adult,200,1800000,4.5,yes
fantasy,400,1800000,4.5,yes
fantasy,600,1800000,4.5,yes
young adult,200,1700000,4,yes
fantasy,300,1700000,4.5,yes
mystery,200,1600000,4,yes
fantasy,400,1800000,4.5,yes
fantasy,300,1800000,4.5,yes
fantasy,300,1700000,4.5,yes
thriller,400,1400000,4,yes
fantasy,300,1700000,4.5,yes
young adult,500,1600000,3.5,yes
romance,2000,1600000,3.5,yes
mystery,200,500000,4,yes
drama,200,1500000,4.5,yes
young adult,400,1500000,4,yes
romance,200,1300000,4,yes
romance,200,1300000,3.5,yes
fantasy,500,1300000,4,yes
young adult,200,1300000,4,yes
fantasy,500,1500000,4,no
romance,200,700000,4,yes
fantasy,100,1300000,4.5,yes
romance,200,1200000,3.5,yes
fantasy,200,1400000,4,yes
young adult,2000,1300000,4,no
mystery,3000,1200000,4,yes
romance,200,1100000,4,yes
fantasy,300,1000000,4,yes
romance,100,1100000,4,no
young adult,300,1200000,4.5,yes
sci-fi,500,600000,4,no
young adult,200,1100000,3.5,yes
young adult,50,1000000,4.5,no
young adult,200,1200000,4,yes
young adult,200,1100000,3.5,yes
fantasy,200,1100000,4,yes
sci-fi,300,900000,4,yes
sci-fi,500,1000000,4,yes
fantasy,200,1100000,3.5,yes
young adult,100,900000,4,yes
young adult,2000,1000000,4,yes
young adult,200,1100000,4,yes
young adult,200,900000,4,no
mystery,10,1000000,4,yes
fantasy,300,1000000,4,yes
romance,2000,900000,4,yes
drama,100,900000,4,yes
sci-fi,200,800000,4,yes
romance,400,900000,4.5,yes
drama,200,800000,4.5,no
young adult,100,900000,4,yes
young adult,200,800000,4,yes
sci-fi,200,800000,4.5,yes
horror,3000,800000,4,yes
fantasy,300,800000,4,no
sci-fi,200,700000,4,yes
young adult,200,800000,4,no
romance,200,700000,4,yes
drama,2000,700000,4,yes
young adult,100,700000,4,yes
romance,100,700000,3.5,yes
fantasy,2000,700000,3.5,yes
fantasy,2000,700000,4.5,yes
drama,90,600000,4,yes
young adult,100,600000,4,yes
romance,500,600000,4,yes
sci-fi,200,400000,4,yes
young adult,80,700000,4.5,no
mystery,200,600000,4,no
young adult,100,700000,4.5,no
young adult,200,500000,4,no
sci-fi,100,600000,4.5,yes
young adult,200,700000,4,yes
young adult,100,700000,4,no
#N/A,100,500000,4,no
young adult,1000,600000,4,yes
romance,600,500000,4,yes
horror,2000,600000,4,yes
romance,100,400000,4,yes
horror,2000,600000,4,yes
mystery,200,600000,4,yes
romance,100,600000,4,yes
drama,40,500000,4,no
comedy,60,500000,4,no
fantasy,100,600000,4,yes
romance,1000,600000,4,yes
sci-fi,200,500000,4,yes
young adult,200,500000,3.5,yes
comedy,50,500000,4,no
drama,100,500000,4,yes
comedy,100,500000,3.5,yes
romance,1000,500000,4,yes
fantasy,200,500000,4.5,yes
drama,100,500000,3.5,no
romance,200,600000,4.5,yes
comedy,300,600000,4,no
drama,200,600000,4,no
drama,100,500000,4,no
young adult,2000,600000,4,yes
fantasy,200,600000,4,no
drama,100,500000,4,yes
sci-fi,200,600000,4,yes
