rating,Genre,ratings_count,adapted
4,young adult,4780653,yes
4,fantasy,4602479,yes
4,young adult,3866839,yes
4,young adult,3198671,yes
4,romance,2683664,yes
4,young adult,2346404,yes
4,fantasy,2071616,yes
4,young adult,2044241,yes
4,mystery,2001311,yes
4,romance,2035490,yes
4,drama,1813044,yes
4,young adult,1903563,yes
4,sci-fi,1956832,yes
4,fantasy,1881700,yes
4,young adult,1972666,yes
4,mystery,1808403,yes
4,young adult,1831039,yes
5,fantasy,1832823,yes
4,fantasy,1766803,yes
4,young adult,1719760,yes
4,fantasy,1735368,yes
4,mystery,1605173,yes
4,fantasy,1779331,yes
5,fantasy,1753043,yes
5,fantasy,1746574,yes
4,thriller,1447148,yes
5,fantasy,1678823,yes
4,young adult,1605019,yes
4,romance,1628519,yes
4,mystery,512475,yes
4,drama,1531753,yes
4,young adult,1467496,yes
4,romance,1300209,yes
4,romance,1338493,yes
4,fantasy,1299566,yes
4,young adult,1296825,yes
4,fantasy,1531800,no
4,romance,746287,yes
4,fantasy,1319204,yes
4,romance,1181647,yes
4,fantasy,1366265,yes
4,young adult,1257121,no
4,mystery,1198557,yes
4,romance,1053403,yes
4,fantasy,1003228,yes
4,romance,1068146,no
4,young adult,1159741,yes
4,sci-fi,570498,no
4,young adult,1149630,yes
4,young adult,1016888,no
4,young adult,1154031,yes
4,young adult,1134511,yes
4,fantasy,1104021,yes
4,sci-fi,936782,yes
4,sci-fi,1022601,yes
4,fantasy,1070245,yes
4,young adult,916189,yes
4,young adult,953758,yes
4,young adult,1064521,yes
4,young adult,867553,no
4,mystery,1008778,yes
4,fantasy,953970,yes
4,romance,899195,yes
4,drama,863879,yes
4,sci-fi,846488,yes
4,romance,873981,yes
4,drama,818742,no
4,young adult,888806,yes
4,young adult,836362,yes
4,sci-fi,813439,yes
4,horror,808589,yes
4,fantasy,791850,no
4,sci-fi,749780,yes
4,young adult,783470,no
4,romance,736498,yes
4,drama,738894,yes
4,young adult,747445,yes
4,romance,665930,yes
4,fantasy,670326,yes
4,fantasy,738757,yes
4,drama,621099,yes
4,young adult,647684,yes
4,romance,637412,yes
4,sci-fi,447833,yes
4,young adult,702332,no
4,mystery,597775,no
4,young adult,691231,no
4,young adult,461311,no
4,sci-fi,628637,yes
4,young adult,659248,yes
4,young adult,719925,no
4,#N/A,524191,no
4,young adult,639357,yes
4,romance,490565,yes
4,horror,590014,yes
4,romance,387290,yes
4,horror,618973,yes
4,mystery,563994,yes
4,romance,552059,yes
4,drama,546502,no
4,comedy,495736,no
4,fantasy,620618,yes
4,romance,555822,yes
4,sci-fi,504793,yes
4,young adult,463257,yes
4,comedy,506250,no
4,drama,546948,yes
4,comedy,543658,yes
4,romance,513407,yes
4,fantasy,523303,yes
4,drama,501430,no
4,romance,587647,yes
4,comedy,563265,no
4,drama,556518,no
4,drama,488243,no
4,young adult,555359,yes
4,fantasy,615907,no
4,drama,515090,yes
4,sci-fi,607889,yes
4,young adult,525706,yes
4,drama,469836,yes
4,sci-fi,506900,no
4,thriller,488269,yes
4,drama,511360,yes
4,drama,515820,yes
4,sci-fi,485032,no
4,#N/A,490504,no
4,#N/A,560715,yes
4,drama,491642,yes
4,drama,520630,yes
4,drama,322321,yes
4,young adult,449501,no
4,young adult,502247,yes
4,fantasy,593173,yes
5,fantasy,469022,yes
4,drama,465676,yes
4,romance,515547,yes
3,romance,509883,no
4,fantasy,613674,no
4,mystery,443951,yes
4,sci-fi,423344,yes
4,fantasy,462517,no
4,drama,470001,no
4,#N/A,487775,no
4,thriller,455610,no
4,mystery,396756,no
4,young adult,463783,yes
4,romance,467577,yes
4,young adult,503527,yes
4,drama,424981,no
4,fantasy,514932,no
4,romance,441062,no
4,fantasy,541117,no
4,fantasy,496018,yes
4,fantasy,480446,yes
4,romance,403601,yes
4,fantasy,457475,no
4,young adult,453959,yes
4,fantasy,508214,yes
4,romance,459247,yes
5,fantasy,463959,yes
4,crime,420600,yes
4,fantasy,271576,no
4,young adult,514312,no
4,fantasy,428186,yes
4,young adult,511815,no
4,fantasy,378019,no
4,horror,438832,yes
4,romance,424637,no
4,thriller,423019,no
4,romance,459826,yes
4,romance,297472,yes
4,sci-fi,431195,yes
4,fantasy,419539,no
5,fantasy,397500,no
4,horror,292592,yes
4,crime,380903,no
4,drama,401605,no
4,drama,392103,no
4,#N/A,372099,no
4,crime,381652,yes
4,young adult,436093,yes
4,fantasy,490890,no
4,young adult,440743,yes
4,fantasy,429543,no
4,romance,381080,yes
4,young adult,449073,no
4,fantasy,365954,yes
4,fantasy,389054,yes
4,#N/A,379872,yes
4,fantasy,398018,yes
5,fantasy,400101,yes
4,#N/A,353011,no
3,drama,358050,yes
4,romance,393626,yes
4,thriller,365349,yes
4,fantasy,420764,no
4,drama,376766,yes
4,comedy,367304,yes
4,mystery,408983,yes
4,mystery,369428,yes
4,young adult,448166,no
4,romance,418309,no
4,fantasy,394540,yes
4,fantasy,372566,yes
4,young adult,505340,yes
4,mystery,391007,yes
4,#N/A,377249,no
4,horror,351107,yes
4,horror,248283,yes
4,#N/A,348196,no
4,romance,347006,yes
4,fantasy,364933,no
4,fantasy,446668,no
4,sci-fi,349423,no
4,drama,327409,no
4,crime,309385,yes
4,romance,222678,no
4,sci-fi,376385,yes
4,young adult,291411,no
4,young adult,311543,no
4,thriller,327122,yes
4,fantasy,386923,no
