Title,Film
"The A.B.C. Murders (1936), Agatha Christie",The Alphabet Murders (1966)The A.B.C. Murders (1992) (TV)
"À ton image (1998), Louise L. Lambrichs",À ton image (2004)
"De Aanslag (The Assault) (1982), Harry Mulisch",The Assault (1986)
"About a Boy (1998), Nick Hornby",About a Boy (2002)
"About Schmidt (1996), Louis Begley",About Schmidt (2002)
"Absolute Power (1996), David Baldacci",Absolute Power (1997)
"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988)
"Across 110th (1970), Wally Ferris",Across 110th Street (1972)
"Adam Resurrected (Man, Son of a Dog) (1971), Yoram Kaniuk",Adam Resurrected (2009)
"Adams Fall (2000), Sean Desmond",Abandon (2002)
"Addie Pray (1971), Joe David Brown",Paper Moon (1973)
"Adiliya by the River (1999), Jin Renshun",Green Tea (2003)
"Adolphe (1816), Benjamin Constant",Adolphe (2002)
"Adventure (1911), Jack London",Adventure (1925)
"The Adventurers (1966), Harold Robbins",The Adventurers (1970)
"The Adventures of Captain Alatriste (Las aventuras del Capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte",Alatriste (2006)
"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954)
"Adventures of Huckleberry Finn (1884), Mark Twain",Huck and Tom (1918)Huckleberry Finn (1920)Huckleberry Finn (1931)Huck Finn (1937)The Adventures of Huckleberry Finn (1939)The Adventures of Huckleberry Finn (1955) (TV)The Adventures of Huckleberry Finn (1960)Huckleberry Finn (1974)Hopelessly Lost (1972)Huckleberry Finn (1975) (TV)The Adventures of Huckleberry Finn (1981) (TV)Adventures of Huckleberry Finn (1985)The Adventures of Mark Twain (1985)Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990) (TV)The Adventures of Huck Finn (1993)Tom and Huck (1995)Tomato Sawyer and Huckleberry Larry's Big River Rescue (2008)
"The Adventures of Pinocchio (1883), Carlo Collodi","The Adventures of Pinocchio (1936) (Unfinished, considered a lost film)Pinocchio (1940)Pinocchio (1957) (TV)The Adventures of Buratino (1959)Pinocchio in Outer Space (1965)Pinocchio (1968) (TV)Pinocchio (1972)The Adventures of Buratino (1975)Pinocchio (1976) (TV)The Adventures of Pinocchio (1984)Pinocchio and the Emperor of the Night (1987)964 Pinocchio (1991)Pinocchio (1992)Pinocchio's Revenge (1996)The Adventures of Pinocchio (1996)Geppetto (2000)A.I. Artificial Intelligence (2001)A Tree of Palme (2002)Pinocchio (2002)Pinocchio 3000 (2004)Pinocchio (2008)Pistachio – The Little Boy That Woodn't (2010)"
"The Adventures of Sherlock Holmes (1891–1892) (series), (1892) (novel), Arthur Conan Doyle","Adventures of Sherlock Holmes; or, Held for Ransom (1905)The Adventures of Sherlock Holmes (1921)The Adventures of Sherlock Holmes (1939)The Adventures of Sherlock Holmes and Dr. Watson (1979–1986) (series)Sheerluck Holmes and the Golden Ruler (2006/5)"
"The Adventures of Tom Sawyer (1876), Mark Twain",Tom Sawyer (1907)Tom Sawyer (1917)* Huck and Tom (1918)Tom Sawyer (1930)* Huckleberry Finn (1931)The Adventures of Tom Sawyer (1938)Tom Sawyer (1936)The Adventures of Mark Twain (1944)Tom Sawyer (1973)* Huckleberry Finn (1974)Tom Sawyer (1973) (TV)* Huckleberry Finn (1975) (TV)Tom Sawyer (1984)The Adventures of Mark Twain (1985)Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990) (TV)Tom and Huck (1995)Tom Sawyer (2000)
"Advise and Consent (1959), Allen Drury",Advise & Consent (1962)
"Aelita (1923) (a. k. a. Aelita or, The Decline of Mars), Alexei Tolstoy",Aelita (1924)
"The African Queen (1935), C. S. Forester",The African Queen (1951)
"After Dark, My Sweet (1955), Jim Thompson","After Dark, My Sweet (1990)"
"After Hours (1979), Edwin Torres",Carlito's Way (1993)
"After the Funeral (1953), Agatha Christie",Murder at the Gallop (1963)
"The Age of Innocence (1921), Edith Wharton",The Age of Innocence (1924)The Age of Innocence (1928)The Age of Innocence (1934)The Age of Innocence (1993)
"The Agony and the Ecstasy (1961), Irving Stone",The Agony and the Ecstasy (1965)
"Äideistä parhain (Mother of Mine) (1999), Heikki Hietamies",Äideistä parhain (Mother of Mine) (2005) (a. k. a. Den bästa av mödrar (Swedish))
"Aimez-vous Brahms? (1959), Françoise Sagan",Goodbye Again (1961)Jahan Tum Le Chalo (1999)
"Air America (1985), Christopher Robbins",Air America (1990)
"Airborn (2004), Kenneth Oppel",Airborn (2012)
"Airport (1968), Arthur Hailey",Airport (1970)* Airport 1975 (1975)** Airport '77 (1977)*** The Concorde ... Airport '79 (1979)
"Alice Adams (1921), Booth Tarkington",Alice Adams (1923)Alice Adams (1935)
"Allan Quatermain (1887), Sir H. Rider Haggard",Allan Quatermain and the Lost City of Gold (1987)
"All Fall Down (1960), James Leo Herlihy",All Fall Down (1962)
"All the Brothers Were Valiant (1919), Ben Ames Williams",All the Brothers Were Valiant (1923)Across to Singapore (1928)All the Brothers Were Valiant (1953)
"All the King's Men (1946), Robert Penn Warren",All the King's Men (1949)All the King's Men (2006)
"All the Pretty Horses (1992), Cormac McCarthy",All the Pretty Horses (2000)
"All the Rivers Run (1958), Nancy Cato",All the Rivers Run (1983–1990) (mini)
"All the Way (2001), Andy Behrens",Sex Drive (2008)
"All You Need Is Kill (2009), Hiroshi Sakurazaka",Edge of Tomorrow (2014)
"Almayer's Folly (1895), Joseph Conrad",Hanyut (2011)Almayer's Folly (2011)
"Along Came a Spider (1993), James Patterson",Along Came a Spider (2001)
"Altered States (1978), Paddy Chayefsky",Altered States (1980)
"Always Another Dawn (1948), Zelma Roberts",Always Another Dawn (1948)
"Always Outnumbered, Always Outgunned (1987), Walter Mosley",Always Outnumbered (1998) (TV)
"El Amante Bilingüe (The Bilingual Lover) (1990), Juan Marsé",El Amante Bilingüe (1993)
"El Amateur (The Amateur) (1990), Mauricio Dayub",El Amateur (1999)
"An American Dream (1965), Norman Mailer",An American Dream (1966)
"American Knees (1995), Shawn Wong",Americanese (2006)
"American Psycho (1991), Bret Easton Ellis",American Psycho (2000)* American Psycho 2: All-American Girl (2002) (V)
"American Splendor (1976–2008), Harvey Pekar",American Splendor (2003)
"An American Tragedy (1925), Theodore Dreiser",A Place in the Sun (1951)
"The Americanization of Emily (1959), William Bradford Huie",The Americanization of Emily (1964)
"Amerika (1927), Franz Kafka",Klassenverhältnisse (Class Relations) (1984)Intervista (1987)Amerika (1994)
"Les amitiés particulières (This Special Friendship) (1943), Roger Peyrefitte",Les amitiés particulières (1964)
"The Amityville Horror (1977), Jay Anson",The Amityville Horror (1979)The Amityville Horror (2005)
"El Amor infiel (The Unfaithful Love) (1970), Mario David",El Amor infiel (1974)
"Amos Judd (1895), John Ames Mitchell",The Young Rajah (1922)
"Amu (2005), Shonali Bose",Amu (2005)
"La Anam (Sleepless) (1969), Ihsan Abdel Quddous",La Anam (1957)
"Anatomy of a Murder (1958), John D. Voelker (as Robert Traver)",Anatomy of a Murder (1959)
"And Now Tomorrow (1942), Rachel Field",And Now Tomorrow (1944)
"And Then There Were None (1939), Agatha Christie",And Then There Were None (1945)Ten Little Indians (1959) (TV)Gumnaam (1965)Ten Little Indians (1965)Zehn kleine Negerlein (1969) (TV)And Then There Were None (1974)Desyat Negrityat (1987)Ten Little Indians (1989)Identity (2003)
"The Anderson Tapes (1969), Lawrence Sanders",The Anderson Tapes (1971)
"Andromeda: A Space-Age Tale (1957), Ivan Yefremov",The Andromeda Nebula (1967)
"The Andromeda Strain (1969), Michael Crichton",The Andromeda Strain (1971)The Andromeda Strain (2008) (TV)
"Angel (1957), Elizabeth Taylor",Angel (2007)
"Angel Square (1987), Brian Doyle",Angel Square (1990)
"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Angélique, marquise des anges (1964)* Merveilleuse Angélique (1965)** Angélique et le roy (1966)*** Indomptable Angélique (fr) (1967)**** Angélique et le Sultan (fr) (1968)"
"Angels & Demons (2000), Dan Brown",Angels & Demons (2009)
"Anglo-Saxon Attitudes (1956), Angus Wilson",Anglo-Saxon Attitudes (1992)
"The Angry Hills (1955), Leon Uris",The Angry Hills (1959)
"Die Angst des Tormanns beim Elfmeter (The Goalkeeper's Fear of the Penalty) (1970), Peter Handke",The Goalkeeper's Fear of the Penalty (1972)
"Un animal doué de raison (A Sentient Animal) (1967), Robert Merle",The Day of the Dolphin (1973)
"Animal Farm (1945), George Orwell",Animal Farm (1954)Animal Farm (1999) (TV)
"Anna and the King of Siam (1944), Margaret Landon",Anna and the King of Siam (1946)The King and I (1956)The King and I (1999)Anna and the King (1999)
"Anna Karenina (1873–1887) (serial), (1888) (novel), Leo Tolstoy",Anna Karenina (1914)Anna Karenina (1915)Love (1927)Anna Karenina (1935)Anna Karenina (1948)Nahr al-Hob (River of Love) (1960)Anna Karenina (1967)Anna Karenina (1974)Anna Karenina (1985)Anna Karenina (1997)Anna Karenina (2005)Anna Karenina (2012)
"Anna to the Infinite Power (1979), Mildred Ames",Anna to the Infinite Power (1983)
"Anne of Avonlea (1909), Lucy Maud Montgomery",Anne of Avonlea (1975) (TV)Anne of Avonlea (1987) (TV)
"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables (1919)Anne of Green Gables (1934)* Anne of Windy Poplars (1940)Anne of Green Gables (1956) (TV)Anne of Green Gables (1972) (TV)* Anne of Avonlea (1975) (TV)Anne of Green Gables (1985) (TV)** Anne of Avonlea (1987) (TV)** * Anne of Green Gables: The Continuing Story (2000) (TV)** ** Anne of Green Gables: A New Beginning (2009) (TV)
"L'Année des méduses (The Year of the Jellyfish) (1983), Christopher Frank",L'Année des méduses (Year of the Jellyfish) (1984)
"The Anointed (1937), Clyde Brion Davis",Adventure (1945)
"The Antagonists (1971), Ernest K. Gann",Masada (1987) (TV) (mini)
"Anthony Adverse (1933), Hervey Allen",Anthony Adverse (1936)
"Antikiller (Антикиллер) (1999), Daniil Koretsky",Antikiller (2002)
"Antonieta (1978), Andrés Henestrosa",Antonieta (1982)
"Apache Rising (1957), Marvin H. Albert",Duel at Diablo (1966)
"A Job for Jenny (1945) (a. k. a. A Job for Jenny), Faith Baldwin",Apartment for Peggy (1948)
"The Apocalypse Watch (1995), Robert Ludlum",The Apocalypse Watch (1997) (TV)
"The Apple Dumpling Gang (1971), Jack Bickham",The Apple Dumpling Gang (1975)* The Apple Dumpling Gang Rides Again (1979)** Tales from the Apple Dumpling Gang (1982) (TV)
"Appointment with Death (1938), Agatha Christie",Appointment with Death (1988)
"Appointment with Venus (1951), Jerrard Tickell",Appointment with Venus (1951)
"The Apprenticeship of Duddy Kravitz (1959), Mordecai Richler",The Apprenticeship of Duddy Kravitz (1974)
"Armageddon 2419 A.D. (1928), Philip Francis Nowlan* The Airlords of Han (1929), Philip Francis Nowlan",Buck Rogers (1939)Buck Rogers in the 25th Century (1979)
"L'Armée des ombres (The Army of Shadows) (1943), Joseph Kessel",L'Armée des ombres (The Army of Shadows) (1969)
"Arouse and Beware (1936), MacKinlay Kantor",The Man from Dakota (1940)
"Arrowsmith (1925), Sinclair Lewis",Arrowsmith (1931)
"El Asalto (The Robbery) (1956), Enrique Silberstein",El Asalto (The Robbery) (1960)
"Ascenseur pour l'échafaud (Lift to the Scaffold) (1951), Noël Calef",Elevator to the Gallows (1958)
"Ask the Dust (1939), John Fante",Ask the Dust (2006)
"Asking for Trouble (2001), Elizabeth Young",The Wedding Date (2005)
"The Asphalt Jungle (1949), W. R. Burnett",The Asphalt Jungle (1950)The Badlanders (1959)
"The Assassination Bureau, Ltd (1963), Jack London",The Assassination Bureau (1969)
"The Assassination of Jesse James by the Coward Robert Ford (1983), Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford (2007)
